Golden_Globe_Winner_ID,Winner,Year_Ceremony,Movie_Name,Golden_Globe_Award,GG_Award_ID
127,Argo,2013,Argo,Best Motion Picture - Drama,GG001
128,Michelle Williams,2012,My Week With Marilyn,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
129,Jean Dujardin,2012,The Artist,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
130,A Separation,2012,A Separation,Best Motion Picture – Non-English Language,GG008
131,Octavia Spencer,2012,The Help,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
132,Christopher Plummer,2012,Beginners,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
133,Martin Scorsese,2012,Hugo,Best Director - Motion Picture,GG011
134,Ludovic Bource,2012,The Artist,Best Original Score - Motion Picture,GG013
135,"""Masterpiece""",2012,W.E.,Best Original Song - Motion Picture,GG014
136,"Descendants, The",2012,The Descendants,Best Motion Picture - Drama,GG001
137,The Artist,2012,The Artist,Best Motion Picture - Musical or Comedy,GG004
138,"Adventures of Tintin, The",2012,The Adventures of Tintin,Best Motion Picture - Animated,GG007
139,Woody Allen,2012,Midnight In Paris,Best Screenplay - Motion Picture,GG012
140,Natalie Portman,2011,Black Swan,Best Performance by an Actress in a Motion Picture - Drama,GG002
141,Colin Firth,2011,The King's Speech,Best Performance by an Actor in a Motion Picture - Drama,GG003
142,Annette Bening,2011,The Kids Are All Right,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
143,Paul Giamatti,2011,Barney's Version,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
144,In A Better World,2011,In A Better World,Best Motion Picture – Non-English Language,GG008
145,Melissa Leo,2011,The Fighter,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
146,Christian Bale,2011,The Fighter,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
147,David Fincher,2011,The Social Network,Best Director - Motion Picture,GG011
148,"""You Haven't Seen The Last of Me""",2011,Burlesque,Best Original Song - Motion Picture,GG014
149,The Social Network,2011,The Social Network,Best Motion Picture - Drama,GG001
150,"Kids Are All Right, The",2011,The Kids Are All Right,Best Motion Picture - Musical or Comedy,GG004
151,Jeff Bridges,2010,Crazy Heart,Best Performance by an Actor in a Motion Picture - Drama,GG003
152,Meryl Streep,2010,Julie & Julia,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
153,Robert Downey Jr.,2010,Sherlock Holmes,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
154,The White Ribbon (Das weiße Band - Eine Deutsche Kindergeschichte),2010,The White Ribbon (Das weiße Band - Eine Deutsche Kindergeschichte),Best Motion Picture – Non-English Language,GG008
155,Mo’Nique Mo’nique,2010,Precious: Based on the novel Push by Sapphire,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
156,James Cameron,2010,Avatar,Best Director - Motion Picture,GG011
157,Michael Giacchino,2010,Up,Best Original Score - Motion Picture,GG013
158,"""The Weary Kind (Theme From Crazy Heart)""",2010,Crazy Heart,Best Original Song - Motion Picture,GG014
159,"Hangover, The",2010,The Hangover,Best Motion Picture - Musical or Comedy,GG004
160,Up,2010,Up,Best Motion Picture - Animated,GG007
161,"Jason Reitman, Sheldon Turner",2010,Up In The Air,Best Screenplay - Motion Picture,GG012
162,Kate Winslet,2009,Revolutionary Road,Best Performance by an Actress in a Motion Picture - Drama,GG002
163,Mickey Rourke,2009,The Wrestler,Best Performance by an Actor in a Motion Picture - Drama,GG003
164,Sally Hawkins,2009,Happy-Go-Lucky,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
165,Waltz with Bashir,2009,Waltz with Bashir,Best Motion Picture – Non-English Language,GG008
166,Heath Ledger,2009,The Dark Knight,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
167,Danny Boyle,2009,Slumdog Millionaire,Best Director - Motion Picture,GG011
168,A. R. Rahman,2009,Slumdog Millionaire,Best Original Score - Motion Picture,GG013
169,The Wrestler,2009,The Wrestler,Best Original Song - Motion Picture,GG014
170,Slumdog Millionaire,2009,Slumdog Millionaire,Best Motion Picture - Drama,GG001
171,Vicky Cristina Barcelona,2009,Vicky Cristina Barcelona,Best Motion Picture - Musical or Comedy,GG004
172,Wall-E,2009,Wall-E,Best Motion Picture - Animated,GG007
173,Simon Beaufoy,2009,Slumdog Millionaire,Best Screenplay - Motion Picture,GG012
174,Julie Christie,2008,Away From Her,Best Performance by an Actress in a Motion Picture - Drama,GG002
175,Marion Cotillard,2008,La Vie En Rose,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
176,Johnny Depp,2008,Sweeney Todd: The Demon Barber of Fleet Street,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
177,Javier Bardem,2008,No Country for Old Men,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
178,The Diving Bell and the Butterfly,2008,The Diving Bell and the Butterfly,Best Motion Picture – Non-English Language,GG008
179,Cate Blanchett,2008,I'm Not There,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
180,Julian Schnabel,2008,The Diving Bell and the Butterfly,Best Director - Motion Picture,GG011
181,Dario Marianelli,2008,Atonement,Best Original Score - Motion Picture,GG013
182,Sweeney Todd: The Demon Barber of Fleet Street,2008,Sweeney Todd: The Demon Barber of Fleet Street,Best Motion Picture - Musical or Comedy,GG004
183,Ratatouille,2008,Ratatouille,Best Motion Picture - Animated,GG007
184,"Joel Coen, Ethan Coen",2008,No Country for Old Men,Best Screenplay - Motion Picture,GG012
185,Helen Mirren,2007,The Queen,Best Performance by an Actress in a Motion Picture - Drama,GG002
186,Forest Whitaker,2007,The Last King of Scotland,Best Performance by an Actor in a Motion Picture - Drama,GG003
187,Letters from Iwo Jima,2007,Letters from Iwo Jima,Best Motion Picture – Non-English Language,GG008
188,Jennifer Hudson,2007,Dreamgirls,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
189,Eddie Murphy,2007,Dreamgirls,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
190,Babel,2007,Babel,Best Motion Picture - Drama,GG001
191,Cars,2007,Cars,Best Motion Picture - Animated,GG007
192,Dreamgirls,2007,Dreamgirls,Best Motion Picture - Musical or Comedy,GG004
193,Peter Morgan,2007,The Queen,Best Screenplay - Motion Picture,GG012
194,The Song Of The Heart,2007,Happy Feet,Best Original Song - Motion Picture,GG014
195,Felicity Huffman,2006,Transamerica,Best Performance by an Actress in a Motion Picture - Drama,GG002
196,Philip Seymour Hoffman,2006,Capote,Best Performance by an Actor in a Motion Picture - Drama,GG003
197,Reese Witherspoon,2006,Walk The Line,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
198,Joaquin Phoenix,2006,Walk The Line,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
199,Paradise Now,2006,Paradise Now,Best Motion Picture – Non-English Language,GG008
200,Rachel Weisz,2006,The Constant Gardener,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
201,George Clooney,2006,Syriana,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
202,Ang Lee,2006,Brokeback Mountain,Best Director - Motion Picture,GG011
203,"Larry McMurtry, Diana Ossana",2006,Brokeback Mountain,Best Screenplay - Motion Picture,GG012
204,John Williams,2006,Memoirs of a Geisha,Best Original Score - Motion Picture,GG013
205,Brokeback Mountain,2006,Brokeback Mountain,Best Motion Picture - Drama,GG001
206,Walk The Line,2006,Walk The Line,Best Motion Picture - Musical or Comedy,GG004
207,"""A Love That Will Never Grow Old""",2006,Brokeback Mountain,Best Original Song - Motion Picture,GG014
208,Hilary Swank,2005,Million Dollar Baby,Best Performance by an Actress in a Motion Picture - Drama,GG002
209,Natalie Portman,2005,Closer,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
210,"Sea Inside, The",2005,The Sea Inside,Best Motion Picture – Non-English Language,GG008
211,Clive Owen,2005,Closer,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
212,Howard Shore,2005,The Aviator,Best Original Score - Motion Picture,GG013
213,Clint Eastwood,2005,Million Dollar Baby,Best Director - Motion Picture,GG011
214,Jamie Foxx,2005,Ray,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
215,Sideways,2005,Sideways,Best Motion Picture - Musical or Comedy,GG004
216,The Aviator,2005,The Aviator,Best Motion Picture - Drama,GG001
217,Sofia Coppola,2004,Lost in Translation,Best Screenplay - Motion Picture,GG012
218,The Lord of the Rings: The Return of the King,2004,The Lord of the Rings: The Return of the King,Best Motion Picture - Drama,GG001
219,Lost in Translation,2004,Lost in Translation,Best Motion Picture - Musical or Comedy,GG004
220,Peter Jackson,2004,The Lord of the Rings: The Return of the King,Best Director - Motion Picture,GG011
221,Osama,2004,Osama,Best Motion Picture – Non-English Language,GG008
222,Renée Zellweger,2004,Cold Mountain,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
223,Diane Keaton,2004,Something's Gotta Give,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
224,Bill Murray,2004,Lost in Translation,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
225,Tim Robbins,2004,Mystic River,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
226,Charlize Theron,2004,Monster,Best Performance by an Actress in a Motion Picture - Drama,GG002
227,Jack Nicholson,2003,About Schmidt,Best Performance by an Actor in a Motion Picture - Drama,GG003
228,The Hours,2003,The Hours,Best Motion Picture - Drama,GG001
229,Chicago,2003,Chicago,Best Motion Picture - Musical or Comedy,GG004
230,Elliot Goldenthal,2003,Frida,Best Original Score - Motion Picture,GG013
231,Talk To Her,2003,Talk To Her,Best Motion Picture – Non-English Language,GG008
232,Meryl Streep,2003,Adaptation,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
233,Renée Zellweger,2003,Chicago,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
234,Richard Gere,2003,Chicago,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
235,Chris Cooper,2003,Adaptation,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
236,The Hands That Built America,2003,Gangs of New York,Best Original Song - Motion Picture,GG014
237,Russell Crowe,2002,A Beautiful Mind,Best Performance by an Actor in a Motion Picture - Drama,GG003
238,Akiva Goldsman,2002,A Beautiful Mind,Best Screenplay - Motion Picture,GG012
239,A Beautiful Mind,2002,A Beautiful Mind,Best Motion Picture - Drama,GG001
240,Moulin Rouge!,2002,Moulin Rouge!,Best Motion Picture - Musical or Comedy,GG004
241,Craig Armstrong,2002,Moulin Rouge!,Best Original Score - Motion Picture,GG013
242,Robert Altman,2002,Gosford Park,Best Director - Motion Picture,GG011
243,No Man's Land,2002,No Man's Land,Best Motion Picture – Non-English Language,GG008
244,Jennifer Connelly,2002,A Beautiful Mind,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
245,Nicole Kidman,2002,Moulin Rouge!,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
246,Gene Hackman,2002,The Royal Tenenbaums,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
247,Jim Broadbent,2002,Iris,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
248,Sissy Spacek,2002,In the Bedroom,Best Performance by an Actress in a Motion Picture - Drama,GG002
249,"""Until…""",2002,Kate & Leopold,Best Original Song - Motion Picture,GG014
250,Tom Hanks,2001,Cast Away,Best Performance by an Actor in a Motion Picture - Drama,GG003
251,Stephen Gaghan,2001,Traffic,Best Screenplay - Motion Picture,GG012
252,Gladiator,2001,Gladiator,Best Motion Picture - Drama,GG001
253,Almost Famous,2001,Almost Famous,Best Motion Picture - Musical or Comedy,GG004
254,Lisa Gerrard,2001,Gladiator,Best Original Score - Motion Picture,GG013
255,"Crouching Tiger, Hidden Dragon",2001,"Crouching Tiger, Hidden Dragon",Best Motion Picture – Non-English Language,GG008
256,Kate Hudson,2001,Almost Famous,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
257,Benicio del Toro,2001,Traffic,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
258,Julia Roberts,2001,Erin Brockovich,Best Performance by an Actress in a Motion Picture - Drama,GG002
259,"""Things Have Changed""",2001,Wonder Boys,Best Original Song - Motion Picture,GG014
260,Denzel Washington,2000,The Hurricane,Best Performance by an Actor in a Motion Picture - Drama,GG003
261,Alan Ball,2000,American Beauty,Best Screenplay - Motion Picture,GG012
262,American Beauty,2000,American Beauty,Best Motion Picture - Drama,GG001
263,Toy Story 2,2000,Toy Story 2,Best Motion Picture - Musical or Comedy,GG004
264,All About My Mother,2000,All About My Mother,Best Motion Picture – Non-English Language,GG008
265,Janet McTeer,2000,Tumbleweeds,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
266,Tom Cruise,2000,Magnolia,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
267,"""You'll Be In My Heart""",2000,Tarzan,Best Original Song - Motion Picture,GG014
268,Jim Carrey,1999,The Truman Show,Best Performance by an Actor in a Motion Picture - Drama,GG003
269,Marc Norman,1999,Shakespeare in Love,Best Screenplay - Motion Picture,GG012
270,Saving Private Ryan,1999,Saving Private Ryan,Best Motion Picture - Drama,GG001
271,Shakespeare in Love,1999,Shakespeare in Love,Best Motion Picture - Musical or Comedy,GG004
272,"Burkhard Dallwitz, Philip Glass",1999,The Truman Show,Best Original Score - Motion Picture,GG013
273,Central Station,1999,Central Station,Best Motion Picture – Non-English Language,GG008
274,Lynn Redgrave,1999,Gods and Monsters,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
275,Gwyneth Paltrow,1999,Shakespeare in Love,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
276,Ed Harris,1999,The Truman Show,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
277,"""The Prayer""",1999,Quest For Camelot: The Magic Sword,Best Original Song - Motion Picture,GG014
278,Peter Fonda,1998,Ulee's Gold,Best Performance by an Actor in a Motion Picture - Drama,GG003
279,"Ben Affleck, Matt Damon",1998,Good Will Hunting,Best Screenplay - Motion Picture,GG012
280,Titanic,1998,Titanic,Best Motion Picture - Drama,GG001
281,As Good as It Gets,1998,As Good as It Gets,Best Motion Picture - Musical or Comedy,GG004
282,James Horner,1998,Titanic,Best Original Score - Motion Picture,GG013
283,Ma Vie en Rose,1998,Ma Vie en Rose,Best Motion Picture – Non-English Language,GG008
284,Kim Basinger,1998,L.A. Confidential,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
285,Helen Hunt,1998,As Good as It Gets,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
286,Burt Reynolds,1998,Boogie Nights,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG010
287,Judi Dench,1998,Mrs. Brown,Best Performance by an Actress in a Motion Picture - Drama,GG002
288,Scott Alexander,1997,The People vs. Larry Flynt,Best Screenplay - Motion Picture,GG012
289,Gabriel Yared,1997,The English Patient,Best Original Score - Motion Picture,GG013
290,Milos Forman,1997,The People vs. Larry Flynt,Best Director - Motion Picture,GG011
291,Kolya,1997,Kolya,Best Motion Picture – Non-English Language,GG008
292,Lauren Bacall,1997,The Mirror Has Two Faces,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
293,Madonna,1997,Evita,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG005
294,Tom Cruise,1997,Jerry Maguire,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG006
295,Brenda Blethyn,1997,Secrets & Lies,Best Performance by an Actress in a Motion Picture - Drama,GG002
296,"""You Must Love Me""",1997,Evita,Best Original Song - Motion Picture,GG014
297,Larry Karaszewski,1997,The People vs. Larry Flynt,Best Screenplay - Motion Picture,GG012
298,Nicolas Cage,1996,Leaving Las Vegas,Best Performance by an Actor in a Motion Picture - Drama,GG003
299,Emma Thompson,1996,Sense and Sensibility,Best Screenplay - Motion Picture,GG012
300,Sense and Sensibility,1996,Sense and Sensibility,Best Motion Picture - Drama,GG001
301,Babe,1996,Babe,Best Motion Picture - Musical or Comedy,GG004
302,Maurice Jarre,1996,A Walk in the Clouds,Best Original Score - Motion Picture,GG013
303,Mira Sorvino,1996,Mighty Aphrodite,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG009
