Movie_ID,Oscar_Award_ID,GG_Award_ID
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,OWA0073,
186,,
187,,
188,OWA0057,
189,,
190,,
191,,
192,,
193,,
194,,
195,OWA0092,
196,,
197,OWA0003,
198,OWA0003,
198,OWA0053,
199,OWA0003,
200,,GG006
200,,GG004
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,OWA0053,GG004
211,OWA0101,GG004
211,OWA0030,GG004
211,OWA0102,GG004
212,,
213,,
214,,
215,,GG006
216,,
217,,
218,,
219,,
220,OWA0004,GG013
220,OWA0020,GG013
220,OWA0030,GG013
220,OWA0102,GG013
220,OWA0057,GG013
220,OWA0084,GG013
221,OWA0004,
221,OWA0084,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,OWA0036,GG012
234,OWA0036,GG004
234,OWA0036,GG006
235,,
236,OWA0053,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,OWA0001,GG003
257,OWA0001,GG012
257,OWA0001,GG001
257,OWA0001,GG013
257,OWA0060,GG003
257,OWA0060,GG012
257,OWA0060,GG001
257,OWA0060,GG013
257,OWA0055,GG003
257,OWA0055,GG012
257,OWA0055,GG001
257,OWA0055,GG013
258,OWA0004,GG013
258,OWA0004,GG011
258,OWA0004,GG010
258,OWA0057,GG013
258,OWA0057,GG011
258,OWA0057,GG010
259,,
260,OWA0025,
260,OWA0003,
260,OWA0012,
260,OWA0070,
260,OWA0060,
260,OWA0077,
261,OWA0053,
261,OWA0092,
261,OWA0093,
262,,
263,,
264,OWA0080,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,OWA0053,
287,OWA0020,
287,OWA0101,
287,OWA0102,
287,OWA0097,
287,OWA0100,
288,,
289,,
290,,
291,,
292,OWA0025,GG010
292,OWA0004,GG010
292,OWA0057,GG010
293,,
294,,
295,,
296,OWA0004,
297,,
298,OWA0101,
299,,
300,,
301,,
302,OWA0004,
302,OWA0092,
302,OWA0030,
302,OWA0084,
303,OWA0003,GG001
303,OWA0003,GG011
303,OWA0053,GG001
303,OWA0053,GG011
303,OWA0012,GG001
303,OWA0012,GG011
303,OWA0020,GG001
303,OWA0020,GG011
303,OWA0092,GG001
303,OWA0092,GG011
303,OWA0030,GG001
303,OWA0030,GG011
303,OWA0078,GG001
303,OWA0078,GG011
303,OWA0060,GG001
303,OWA0060,GG011
303,OWA0100,GG001
303,OWA0100,GG011
303,OWA0084,GG001
303,OWA0084,GG011
303,OWA0099,GG001
303,OWA0099,GG011
304,OWA0097,
304,OWA0084,
305,,
306,,
307,OWA0073,
307,OWA0097,
307,OWA0100,
307,OWA0084,
308,,
309,,
310,,
311,OWA0030,GG013
312,OWA0080,GG003
312,OWA0101,GG003
313,OWA0053,
314,,
315,,
316,OWA0088,
317,,
318,OWA0025,
319,OWA0025,GG010
319,OWA0036,GG010
320,,
321,OWA0030,GG013
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,OWA0026,GG009
336,OWA0095,GG009
337,OWA0078,
338,,
339,OWA0057,
340,,
341,,
342,,
343,,
344,OWA0080,GG003
344,OWA0080,GG012
344,OWA0080,GG001
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,OWA0084,
354,OWA0049,GG001
354,OWA0049,GG013
354,OWA0003,GG001
354,OWA0003,GG013
354,OWA0004,GG001
354,OWA0004,GG013
354,OWA0053,GG001
354,OWA0053,GG013
354,OWA0012,GG001
354,OWA0012,GG013
354,OWA0020,GG001
354,OWA0020,GG013
354,OWA0070,GG001
354,OWA0070,GG013
354,OWA0078,GG001
354,OWA0078,GG013
354,OWA0060,GG001
354,OWA0060,GG013
354,OWA0057,GG001
354,OWA0057,GG013
354,OWA0093,GG001
354,OWA0093,GG013
354,OWA0084,GG001
354,OWA0084,GG013
355,OWA0093,
355,OWA0084,
356,OWA0092,
356,OWA0057,
356,OWA0093,
356,OWA0084,
357,OWA0084,
358,OWA0003,GG011
358,OWA0004,GG011
358,OWA0084,GG011
359,,
360,,GG005
361,,
362,,
363,,
364,,GG013
365,OWA0025,GG010
365,OWA0020,GG010
365,OWA0100,GG010
366,OWA0081,GG004
366,OWA0081,GG014
366,OWA0081,GG006
366,OWA0004,GG004
366,OWA0004,GG014
366,OWA0004,GG006
366,OWA0012,GG004
366,OWA0012,GG014
366,OWA0012,GG006
366,OWA0030,GG004
366,OWA0030,GG014
366,OWA0030,GG006
366,OWA0078,GG004
366,OWA0078,GG014
366,OWA0078,GG006
366,OWA0102,GG004
366,OWA0102,GG014
366,OWA0102,GG006
367,,
368,,
369,,
370,,GG002
371,OWA0057,
371,OWA0093,
371,OWA0084,
372,OWA0003,GG001
372,OWA0004,GG001
372,OWA0012,GG001
372,OWA0020,GG001
372,OWA0030,GG001
372,OWA0060,GG001
372,OWA0095,GG001
373,OWA0003,
373,OWA0020,
373,OWA0057,
373,OWA0084,
373,OWA0085,
374,OWA0004,GG001
374,OWA0012,GG001
374,OWA0020,GG001
374,OWA0057,GG001
374,OWA0093,GG001
375,,
376,OWA0084,
377,OWA0093,
378,OWA0025,GG009
378,OWA0025,GG010
378,OWA0026,GG009
378,OWA0026,GG010
378,OWA0035,GG009
378,OWA0035,GG010
378,OWA0032,GG009
378,OWA0032,GG010
378,OWA0048,GG009
378,OWA0048,GG010
378,OWA0012,GG009
378,OWA0012,GG010
378,OWA0020,GG009
378,OWA0020,GG010
378,OWA0039,GG009
378,OWA0039,GG010
378,OWA0045,GG009
378,OWA0045,GG010
378,OWA0057,GG009
378,OWA0057,GG010
378,OWA0026,GG009
378,OWA0026,GG010
379,,GG001
379,,GG011
380,,
381,,
382,OWA0020,
382,OWA0030,
382,OWA0057,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,OWA0080,GG003
391,OWA0102,GG003
392,,
393,OWA0004,
393,OWA0085,
394,OWA0025,
395,,
396,,
397,,
398,,
399,OWA0053,
400,OWA0026,
401,OWA0030,GG012
401,OWA0030,GG001
401,OWA0030,GG013
401,OWA0030,GG011
401,OWA0030,GG002
402,OWA0069,
403,,
404,OWA0081,GG002
405,OWA0080,
405,OWA0101,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,OWA0030,GG015
414,OWA0030,GG013
414,OWA0030,GG014
414,OWA0078,GG015
414,OWA0078,GG013
414,OWA0078,GG014
415,,
416,,
417,,
418,,
