Movie_Name,Rating,Votes,Meta_score,PG_Rating,Year,Duration,Movie_ID,Director_ID,Oscar_Award_ID,GG_Award_ID
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0026,GG012
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0026,GG001
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0026,GG009
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0012,GG003
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0012,GG012
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0012,GG001
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0012,GG009
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0060,GG003
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0060,GG012
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0060,GG001
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0060,GG009
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0095,GG003
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0095,GG012
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0095,GG001
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0095,GG009
Solo: A Star Wars Story,6.9,372000,62,PG-13,2018,2h 15m,985,20,,
Rush,8.1,505000,74,R,2013,2h 3m,1073,20,,
Apollo 13,7.7,310000,78,PG,1995,2h 20m,1180,20,OWA0020,
Apollo 13,7.7,310000,78,PG,1995,2h 20m,1180,20,OWA0057,
The Da Vinci Code,6.6,453000,46,PG-13,2006,2h 29m,1280,20,,
Parenthood,7.1,54000,82,PG-13,1989,2h 4m,1338,20,,
Backdraft,6.7,86000,39,R,1991,2h 17m,1440,20,,
Inferno,6.2,187000,42,PG-13,2016,2h 1m,1509,20,,
In the Heart of the Sea,6.9,147000,47,PG-13,2015,2h 2m,1532,20,,
Willow,7.2,129000,47,PG,1988,2h 6m,1549,20,,
Maestro,7.3,3600,78,R,2023,2h 9m,21,21,,
A Star Is Born,7.6,410000,88,R,2018,2h 16m,678,21,OWA0011,
A Star Is Born,7.6,410000,88,R,2018,2h 16m,678,21,OWA0078,
Mr. Monk's Last Case: A Monk Movie,7.0,3500,65,TV-PG,2023,1h 37m,22,22,,
The Creator,6.9,92000,63,PG-13,2023,2h 13m,24,26,,
Godzilla,6.4,432000,62,PG-13,2014,2h 3m,128,26,,
Rogue One: A Star Wars Story,7.8,675000,65,PG-13,2016,2h 13m,672,26,,
Monsters,6.4,96000,63,R,2010,1h 34m,1729,26,,
Chicken Run: Dawn of the Nugget,6.5,6300,63,PG,2023,1h 41m,26,29,,
Die Hard,8.2,924000,72,R,1988,2h 12m,27,30,,
Die Hard with a Vengeance,7.6,403000,58,R,1995,2h 8m,517,30,,
Predator,7.8,446000,47,R,1987,1h 47m,649,30,,
The Hunt for Red October,7.5,211000,58,PG,1990,2h 15m,813,30,OWA0093,
The Killer,6.8,140000,73,R,2023,1h 58m,28,31,,
Fight Club,8.8,2300000,67,R,1999,2h 19m,111,31,,
Se7en,8.6,1800000,65,R,1995,2h 7m,162,31,,
Gone Girl,8.1,1000000,79,R,2014,2h 29m,222,31,,
The Social Network,7.8,745000,95,PG-13,2010,2h,468,31,OWA0020,GG011
The Social Network,7.8,745000,95,PG-13,2010,2h,468,31,OWA0020,GG001
The Social Network,7.8,745000,95,PG-13,2010,2h,468,31,OWA0030,GG011
The Social Network,7.8,745000,95,PG-13,2010,2h,468,31,OWA0030,GG001
The Social Network,7.8,745000,95,PG-13,2010,2h,468,31,OWA0099,GG011
The Social Network,7.8,745000,95,PG-13,2010,2h,468,31,OWA0099,GG001
The Girl with the Dragon Tattoo,7.8,487000,71,R,2011,2h 38m,488,31,OWA0020,
Zodiac,7.7,584000,79,R,2007,2h 37m,518,31,,
The Curious Case of Benjamin Button,7.8,685000,70,PG-13,2008,2h 46m,689,31,OWA0003,
The Curious Case of Benjamin Button,7.8,685000,70,PG-13,2008,2h 46m,689,31,OWA0092,
The Curious Case of Benjamin Button,7.8,685000,70,PG-13,2008,2h 46m,689,31,OWA0084,
The Game,7.7,421000,63,R,1997,2h 9m,927,31,,
AlienÂ³,6.4,315000,59,R,1992,1h 54m,1318,31,,
Violent Night,6.7,88000,55,R,2022,1h 52m,30,35,,
Home Alone 2: Lost in New York,6.9,389000,46,PG,1992,2h,31,36,,
Harry Potter and the Sorcerer's Stone,7.6,838000,65,PG,2001,2h 32m,65,36,,
Harry Potter and the Chamber of Secrets,7.4,677000,63,PG,2002,2h 41m,258,36,,
The Christmas Chronicles: Part Two,6.0,35000,51,PG,2020,1h 52m,347,36,,
Percy Jackson & the Olympians: The Lightning Thief,5.9,198000,47,PG,2010,1h 58m,435,36,,
Mrs. Doubtfire,7.1,285000,54,PG-13,1993,2h 5m,945,36,OWA0092,GG004
Mrs. Doubtfire,7.1,285000,54,PG-13,1993,2h 5m,945,36,OWA0092,GG006
Adventures in Babysitting,6.9,48000,45,PG-13,1987,1h 42m,1386,36,,
