Movie Name,Year,Status,Golden Globe Award,GG Award ID
Casey Affleck,2017,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Ryan Gosling,2017,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Isabelle Huppert,2017,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Emma Stone,2017,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Viola Davis,2017,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Damien Chazelle,2017,Winner,Best Screenplay - Motion Picture,GG002
Alejandro González Iñárritu,2016,Winner,Best Director - Motion Picture,GG003
Inside Out,2016,Winner,Best Motion Picture - Animated,GG017
The Revenant,2016,Winner,Best Motion Picture - Drama,GG010
Son of Saul,2016,Winner,Best Motion Picture – Non-English Language,GG004
The Martian,2016,Winner,Best Motion Picture - Musical or Comedy,GG006
Ennio Morricone,2016,Winner,Best Original Score - Motion Picture,GG009
"""Writing's On The Wall""",2016,Winner,Best Original Song - Motion Picture,GG008
Leonardo DiCaprio,2016,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Matt Damon,2016,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Sylvester Stallone,2016,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Brie Larson,2016,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Jennifer Lawrence,2016,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Eddie Redmayne,2015,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Jóhann Jóhannsson,2015,Winner,Best Original Score - Motion Picture,GG009
Patricia Arquette,2015,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Richard Linklater,2015,Winner,Best Director - Motion Picture,GG003
Michael Keaton,2015,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Amy Adams,2015,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Julianne Moore,2015,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
J.K. Simmons,2015,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
"Grand Budapest Hotel, The",2015,Winner,Best Motion Picture - Musical or Comedy,GG006
How to Train Your Dragon 2,2015,Winner,Best Motion Picture - Animated,GG017
Leviathan,2015,Winner,Best Motion Picture – Non-English Language,GG004
"""Glory""",2015,Winner,Best Original Song - Motion Picture,GG008
Boyhood,2015,Winner,Best Motion Picture - Drama,GG010
Jennifer Lawrence,2014,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Spike Jonze,2014,Winner,Best Screenplay - Motion Picture,GG002
Alex Ebert,2014,Winner,Best Original Score - Motion Picture,GG009
Matthew McConaughey,2014,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Jared Leto,2014,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Leonardo DiCaprio,2014,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
American Hustle,2014,Winner,Best Motion Picture - Musical or Comedy,GG006
Frozen,2014,Winner,Best Motion Picture - Animated,GG017
The Great Beauty,2014,Winner,Best Motion Picture – Non-English Language,GG004
Christoph Waltz,2013,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Mychael Danna,2013,Winner,Best Original Score - Motion Picture,GG009
Daniel Day-Lewis,2013,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Jessica Chastain,2013,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Hugh Jackman,2013,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Anne Hathaway,2013,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Amour,2013,Winner,Best Motion Picture – Non-English Language,GG004
Argo,2013,Winner,Best Motion Picture - Drama,GG010
"""Skyfall""",2013,Winner,Best Original Song - Motion Picture,GG008
Meryl Streep,2012,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
George Clooney,2012,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Michelle Williams,2012,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Jean Dujardin,2012,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
A Separation,2012,Winner,Best Motion Picture – Non-English Language,GG004
Octavia Spencer,2012,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Christopher Plummer,2012,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Martin Scorsese,2012,Winner,Best Director - Motion Picture,GG003
Ludovic Bource,2012,Winner,Best Original Score - Motion Picture,GG009
"""Masterpiece""",2012,Winner,Best Original Song - Motion Picture,GG008
"Descendants, The",2012,Winner,Best Motion Picture - Drama,GG010
The Artist,2012,Winner,Best Motion Picture - Musical or Comedy,GG006
Natalie Portman,2011,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Colin Firth,2011,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Annette Bening,2011,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Paul Giamatti,2011,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
In A Better World,2011,Winner,Best Motion Picture – Non-English Language,GG004
Melissa Leo,2011,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Christian Bale,2011,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
"Trent Reznor, Atticus Ross",2011,Winner,Best Original Score - Motion Picture,GG009
The Social Network,2011,Winner,Best Motion Picture - Drama,GG010
"Kids Are All Right, The",2011,Winner,Best Motion Picture - Musical or Comedy,GG006
Toy Story 3,2011,Winner,Best Motion Picture - Animated,GG017
Sandra Bullock,2010,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Jeff Bridges,2010,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
The White Ribbon (Das weiße Band - Eine Deutsche Kindergeschichte),2010,Winner,Best Motion Picture – Non-English Language,GG004
James Cameron,2010,Winner,Best Director - Motion Picture,GG003
Michael Giacchino,2010,Winner,Best Original Score - Motion Picture,GG009
"""The Weary Kind (Theme From Crazy Heart)""",2010,Winner,Best Original Song - Motion Picture,GG008
Avatar,2010,Winner,Best Motion Picture - Drama,GG010
"Hangover, The",2010,Winner,Best Motion Picture - Musical or Comedy,GG006
Kate Winslet,2009,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Mickey Rourke,2009,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Sally Hawkins,2009,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Colin Farrell,2009,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Waltz with Bashir,2009,Winner,Best Motion Picture – Non-English Language,GG004
Kate Winslet,2009,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Heath Ledger,2009,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Danny Boyle,2009,Winner,Best Director - Motion Picture,GG003
A. R. Rahman,2009,Winner,Best Original Score - Motion Picture,GG009
Slumdog Millionaire,2009,Winner,Best Motion Picture - Drama,GG010
Vicky Cristina Barcelona,2009,Winner,Best Motion Picture - Musical or Comedy,GG006
Wall-E,2009,Winner,Best Motion Picture - Animated,GG017
Simon Beaufoy,2009,Winner,Best Screenplay - Motion Picture,GG002
Julie Christie,2008,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Marion Cotillard,2008,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Johnny Depp,2008,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Javier Bardem,2008,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
The Diving Bell and the Butterfly,2008,Winner,Best Motion Picture – Non-English Language,GG004
Cate Blanchett,2008,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Julian Schnabel,2008,Winner,Best Director - Motion Picture,GG003
Dario Marianelli,2008,Winner,Best Original Score - Motion Picture,GG009
Sweeney Todd: The Demon Barber of Fleet Street,2008,Winner,Best Motion Picture - Musical or Comedy,GG006
Ratatouille,2008,Winner,Best Motion Picture - Animated,GG017
"Joel Coen, Ethan Coen",2008,Winner,Best Screenplay - Motion Picture,GG002
Helen Mirren,2007,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Forest Whitaker,2007,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Meryl Streep,2007,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Letters from Iwo Jima,2007,Winner,Best Motion Picture – Non-English Language,GG004
Jennifer Hudson,2007,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Eddie Murphy,2007,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Alexandre Desplat,2007,Winner,Best Original Score - Motion Picture,GG009
Babel,2007,Winner,Best Motion Picture - Drama,GG010
Cars,2007,Winner,Best Motion Picture - Animated,GG017
Dreamgirls,2007,Winner,Best Motion Picture - Musical or Comedy,GG006
Peter Morgan,2007,Winner,Best Screenplay - Motion Picture,GG002
The Song Of The Heart,2007,Winner,Best Original Song - Motion Picture,GG008
Felicity Huffman,2006,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Philip Seymour Hoffman,2006,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Reese Witherspoon,2006,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Joaquin Phoenix,2006,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Paradise Now,2006,Winner,Best Motion Picture – Non-English Language,GG004
Rachel Weisz,2006,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
George Clooney,2006,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Ang Lee,2006,Winner,Best Director - Motion Picture,GG003
"Larry McMurtry, Diana Ossana",2006,Winner,Best Screenplay - Motion Picture,GG002
John Williams,2006,Winner,Best Original Score - Motion Picture,GG009
Brokeback Mountain,2006,Winner,Best Motion Picture - Drama,GG010
Walk The Line,2006,Winner,Best Motion Picture - Musical or Comedy,GG006
"""A Love That Will Never Grow Old""",2006,Winner,Best Original Song - Motion Picture,GG008
Hilary Swank,2005,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Natalie Portman,2005,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
"Sea Inside, The",2005,Winner,Best Motion Picture – Non-English Language,GG004
Clive Owen,2005,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Howard Shore,2005,Winner,Best Original Score - Motion Picture,GG009
Clint Eastwood,2005,Winner,Best Director - Motion Picture,GG003
Jamie Foxx,2005,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Sideways,2005,Winner,Best Motion Picture - Musical or Comedy,GG006
The Aviator,2005,Winner,Best Motion Picture - Drama,GG010
"""Old Habits Die Hard""",2005,Winner,Best Original Song - Motion Picture,GG008
"Alexander Payne, Jim Taylor",2005,Winner,Best Screenplay - Motion Picture,GG002
Sean Penn,2004,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Sofia Coppola,2004,Winner,Best Screenplay - Motion Picture,GG002
The Lord of the Rings: The Return of the King,2004,Winner,Best Motion Picture - Drama,GG010
Lost in Translation,2004,Winner,Best Motion Picture - Musical or Comedy,GG006
Peter Jackson,2004,Winner,Best Director - Motion Picture,GG003
Osama,2004,Winner,Best Motion Picture – Non-English Language,GG004
Renée Zellweger,2004,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Diane Keaton,2004,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Bill Murray,2004,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Tim Robbins,2004,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Charlize Theron,2004,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
"""Into the West""",2004,Winner,Best Original Song - Motion Picture,GG008
Jack Nicholson,2003,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
The Hours,2003,Winner,Best Motion Picture - Drama,GG010
Chicago,2003,Winner,Best Motion Picture - Musical or Comedy,GG006
Elliot Goldenthal,2003,Winner,Best Original Score - Motion Picture,GG009
Talk To Her,2003,Winner,Best Motion Picture – Non-English Language,GG004
Meryl Streep,2003,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Renée Zellweger,2003,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Richard Gere,2003,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Chris Cooper,2003,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
The Hands That Built America,2003,Winner,Best Original Song - Motion Picture,GG008
Russell Crowe,2002,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Akiva Goldsman,2002,Winner,Best Screenplay - Motion Picture,GG002
A Beautiful Mind,2002,Winner,Best Motion Picture - Drama,GG010
Moulin Rouge!,2002,Winner,Best Motion Picture - Musical or Comedy,GG006
Craig Armstrong,2002,Winner,Best Original Score - Motion Picture,GG009
Robert Altman,2002,Winner,Best Director - Motion Picture,GG003
No Man's Land,2002,Winner,Best Motion Picture – Non-English Language,GG004
Jennifer Connelly,2002,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Nicole Kidman,2002,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Gene Hackman,2002,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Jim Broadbent,2002,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Sissy Spacek,2002,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
"""Until…""",2002,Winner,Best Original Song - Motion Picture,GG008
Tom Hanks,2001,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Almost Famous,2001,Winner,Best Motion Picture - Musical or Comedy,GG006
Lisa Gerrard,2001,Winner,Best Original Score - Motion Picture,GG009
"Crouching Tiger, Hidden Dragon",2001,Winner,Best Motion Picture – Non-English Language,GG004
Kate Hudson,2001,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
George Clooney,2001,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Julia Roberts,2001,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
"""Things Have Changed""",2001,Winner,Best Original Song - Motion Picture,GG008
Denzel Washington,2000,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Alan Ball,2000,Winner,Best Screenplay - Motion Picture,GG002
American Beauty,2000,Winner,Best Motion Picture - Drama,GG010
Toy Story 2,2000,Winner,Best Motion Picture - Musical or Comedy,GG006
All About My Mother,2000,Winner,Best Motion Picture – Non-English Language,GG004
Angelina Jolie,2000,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Janet McTeer,2000,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Jim Carrey,2000,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Tom Cruise,2000,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
"""You'll Be In My Heart""",2000,Winner,Best Original Song - Motion Picture,GG008
Jim Carrey,1999,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Marc Norman,1999,Winner,Best Screenplay - Motion Picture,GG002
Saving Private Ryan,1999,Winner,Best Motion Picture - Drama,GG010
Shakespeare in Love,1999,Winner,Best Motion Picture - Musical or Comedy,GG006
"Burkhard Dallwitz, Philip Glass",1999,Winner,Best Original Score - Motion Picture,GG009
Central Station,1999,Winner,Best Motion Picture – Non-English Language,GG004
Gwyneth Paltrow,1999,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Michael Caine,1999,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Ed Harris,1999,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
"""The Prayer""",1999,Winner,Best Original Song - Motion Picture,GG008
Peter Fonda,1998,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
As Good as It Gets,1998,Winner,Best Motion Picture - Musical or Comedy,GG006
James Horner,1998,Winner,Best Original Score - Motion Picture,GG009
Ma Vie en Rose,1998,Winner,Best Motion Picture – Non-English Language,GG004
Kim Basinger,1998,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Helen Hunt,1998,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Jack Nicholson,1998,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Burt Reynolds,1998,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Judi Dench,1998,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
"""My Heart Will Go On""",1998,Winner,Best Original Song - Motion Picture,GG008
Geoffrey Rush,1997,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Scott Alexander,1997,Winner,Best Screenplay - Motion Picture,GG002
The English Patient,1997,Winner,Best Motion Picture - Drama,GG010
Evita,1997,Winner,Best Motion Picture - Musical or Comedy,GG006
Gabriel Yared,1997,Winner,Best Original Score - Motion Picture,GG009
Milos Forman,1997,Winner,Best Director - Motion Picture,GG003
Kolya,1997,Winner,Best Motion Picture – Non-English Language,GG004
Madonna,1997,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Tom Cruise,1997,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Brenda Blethyn,1997,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
"""You Must Love Me""",1997,Winner,Best Original Song - Motion Picture,GG008
Larry Karaszewski,1997,Winner,Best Screenplay - Motion Picture,GG002
Nicolas Cage,1996,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Emma Thompson,1996,Winner,Best Screenplay - Motion Picture,GG002
Sense and Sensibility,1996,Winner,Best Motion Picture - Drama,GG010
Babe,1996,Winner,Best Motion Picture - Musical or Comedy,GG006
Maurice Jarre,1996,Winner,Best Original Score - Motion Picture,GG009
Mel Gibson,1996,Winner,Best Director - Motion Picture,GG003
Les Misérables,1996,Winner,Best Motion Picture – Non-English Language,GG004
Mira Sorvino,1996,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
John Travolta,1996,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Sharon Stone,1996,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Colors of the Wind,1996,Winner,Best Original Song - Motion Picture,GG008
Forrest Gump,1995,Winner,Best Motion Picture - Drama,GG010
The Lion King (1994),1995,Winner,Best Motion Picture - Musical or Comedy,GG006
Robert Zemeckis,1995,Winner,Best Director - Motion Picture,GG003
Farinelli,1995,Winner,Best Motion Picture – Non-English Language,GG004
Dianne Wiest,1995,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Jamie Lee Curtis,1995,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Jessica Lange,1995,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Steven Zaillian,1994,Winner,Best Screenplay - Motion Picture,GG002
Schindler's List,1994,Winner,Best Motion Picture - Drama,GG010
Mrs. Doubtfire,1994,Winner,Best Motion Picture - Musical or Comedy,GG006
Kitarô Kitarô,1994,Winner,Best Original Score - Motion Picture,GG009
Farewell My Concubine,1994,Winner,Best Motion Picture – Non-English Language,GG004
Winona Ryder,1994,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Angela Bassett,1994,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Robin Williams,1994,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Tommy Lee Jones,1994,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Holly Hunter,1994,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Streets of Philadelphia,1994,Winner,Best Original Song - Motion Picture,GG008
Al Pacino,1993,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Bo Goldman,1993,Winner,Best Screenplay - Motion Picture,GG002
Robin Williams,1993,Winner,Special Achievement Award,GG018
Scent of a Woman,1993,Winner,Best Motion Picture - Drama,GG010
"Player, The",1993,Winner,Best Motion Picture - Musical or Comedy,GG006
Alan Menken,1993,Winner,Best Original Score - Motion Picture,GG009
Indochine,1993,Winner,Best Motion Picture – Non-English Language,GG004
Joan Plowright,1993,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Miranda Richardson,1993,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Gene Hackman,1993,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Emma Thompson,1993,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Nick Nolte,1992,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Callie Khouri,1992,Winner,Best Screenplay - Motion Picture,GG002
Oliver Stone,1992,Winner,Best Director - Motion Picture,GG003
