Movie_Name,Rating,Votes,Meta_Score,PG_Rating,Year,Duration,Director,Movie_ID,Director_ID
Dumb Money,6.9,21000,66,R,2023,1h 45m,Craig Gillespie,141,142
Love Story,6.9,37000,84,PG,1970,1h 40m,Arthur Hiller,142,143
Requiem for a Dream,8.3,884000,71,Unrated,2000,1h 42m,Darren Aronofsky,143,144
The Favourite,7.5,216000,91,R,2018,1h 59m,Yorgos Lanthimos,144,3
Goodfellas,8.7,1200000,92,R,1990,2h 25m,Martin Scorsese,146,4
Midsommar,7.1,382000,72,R,2019,2h 28m,Ari Aster,147,147
The Gentlemen,7.8,378000,51,R,2019,1h 53m,Guy Ritchie,148,148
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,420000,75,PG,2005,2h 23m,Andrew Adamson,149,149
Inglourious Basterds,8.4,1500000,69,R,2009,2h 33m,Quentin Tarantino,150,107
Godzilla vs. Kong,6.3,230000,59,PG-13,2021,1h 53m,Adam Wingard,151,150
Mean Girls,7.1,418000,66,PG-13,2004,1h 37m,Mark Waters,152,151
The Family Man,6.8,117000,42,PG-13,2000,2h 5m,Brett Ratner,153,152
She's All That,5.9,102000,51,PG-13,1999,1h 35m,Robert Iscove,154,153
Triangle of Sadness,7.3,163000,63,R,2022,2h 27m,Ruben Ãstlund,155,154
Black Swan,8,809000,79,R,2010,1h 48m,Darren Aronofsky,156,144
Kingdom of Heaven,7.2,308000,63,R,2005,2h 24m,Ridley Scott,157,7
The Northman,7,243000,82,R,2022,2h 17m,Robert Eggers,158,155
Prometheus,7,635000,64,R,2012,2h 4m,Ridley Scott,159,7
Spider-Man: No Way Home,8.2,849000,71,PG-13,2021,2h 28m,Jon Watts,160,156
The Rocky Horror Picture Show,7.4,164000,65,R,1975,1h 40m,Jim Sharman,161,157
Se7en,8.6,1800000,65,R,1995,2h 7m,David Fincher,162,31
Elemental,7,103000,58,PG,2023,1h 41m,Peter Sohn,163,158
Origin,6.5,583,76,PG-13,2023,2h 15m,Ava DuVernay,164,159
Hunter Killer,6.6,71000,43,R,2018,2h 1m,Donovan Marsh,165,160
Pain Hustlers,6.5,32000,44,R,2023,2h 3m,David Yates,166,161
The Silence of the Lambs,8.6,1500000,86,R,1991,1h 58m,Jonathan Demme,167,162
Joker,8.4,1400000,59,R,2019,2h 2m,Todd Phillips,168,163
The Flash,6.7,191000,55,PG-13,2023,2h 24m,Andy Muschietti,169,164
Old Dads,6.2,34000,42,R,2023,1h 44m,Bill Burr,170,165
The Princess Bride,8,445000,78,PG,1987,1h 38m,Rob Reiner,171,166
American Beauty,8.3,1200000,84,R,1999,2h 2m,Sam Mendes,172,167
Jurassic Park,8.2,1000000,68,PG-13,1993,2h 7m,Steven Spielberg,173,135
Heat,8.3,703000,76,R,1995,2h 50m,Michael Mann,174,54
LÃ©on: The Professional,8.5,1200000,64,R,1994,1h 50m,Luc Besson,175,168
Harry Potter and the Goblet of Fire,7.7,667000,81,PG-13,2005,2h 37m,Mike Newell,176,169
The Menu,7.2,366000,71,R,2022,1h 47m,Mark Mylod,177,170
Expend4bles,4.8,28000,30,R,2023,1h 43m,Scott Waugh,178,171
Godzilla: King of the Monsters,6,199000,48,PG-13,2019,2h 12m,Michael Dougherty,179,117
Little Women,7.8,234000,91,PG,2019,2h 15m,Greta Gerwig,180,12
