,Movie_Name,Movie_ID,Genre,Genre_ID
842,The Lovely Bones,687,Drama,1
843,The Lovely Bones,687,Thriller,3
844,The Lovely Bones,687,Fantasy,12
845,War for the Planet of the Apes,688,Drama,1
846,War for the Planet of the Apes,688,Adventure,4
847,War for the Planet of the Apes,688,Action,10
848,The Curious Case of Benjamin Button,689,Drama,1
849,The Curious Case of Benjamin Button,689,Romance,7
850,The Curious Case of Benjamin Button,689,Fantasy,12
851,Ambulance,690,Drama,1
852,Ambulance,690,Crime,8
853,Ambulance,690,Action,10
854,A Bronx Tale,691,Drama,1
855,A Bronx Tale,691,Crime,8
856,Romeo + Juliet,693,Drama,1
857,Romeo + Juliet,693,Romance,7
858,Trainspotting,696,Drama,1
859,The Reader,701,Drama,1
860,The Reader,701,Mystery,2
861,The Reader,701,Romance,7
862,Nocturnal Animals,702,Drama,1
863,Nocturnal Animals,702,Thriller,3
864,Haunted Mansion,707,Drama,1
865,Haunted Mansion,707,Comedy,5
866,Haunted Mansion,707,Family,6
867,The Hospital,711,Drama,1
868,The Hospital,711,Mystery,2
869,The Hospital,711,Comedy,5
870,Little Children,715,Drama,1
871,Little Children,715,Romance,7
872,Save the Last Dance,719,Drama,1
873,Save the Last Dance,719,Romance,7
874,Save the Last Dance,719,Music,14
875,The House That Jack Built,721,Drama,1
876,The House That Jack Built,721,Crime,8
877,The House That Jack Built,721,Horror,16
878,Gone with the Wind,724,Drama,1
879,Gone with the Wind,724,Romance,7
880,Gone with the Wind,724,War,20
881,Gangs of New York,725,Drama,1
882,Gangs of New York,725,Crime,8
883,Jules,728,Drama,1
884,Jules,728,Comedy,5
885,Jules,728,Sci-Fi,13
886,"Three Billboards Outside Ebbing, Missouri",729,Drama,1
887,"Three Billboards Outside Ebbing, Missouri",729,Comedy,5
888,"Three Billboards Outside Ebbing, Missouri",729,Crime,8
889,Margin Call,730,Drama,1
890,Margin Call,730,Thriller,3
891,Black Panther: Wakanda Forever,731,Drama,1
892,Black Panther: Wakanda Forever,731,Adventure,4
893,Black Panther: Wakanda Forever,731,Action,10
894,The Tomorrow War,732,Drama,1
895,The Tomorrow War,732,Adventure,4
896,The Tomorrow War,732,Action,10
897,Bohemian Rhapsody,733,Drama,1
898,Bohemian Rhapsody,733,Biography,11
899,Bohemian Rhapsody,733,Music,14
900,Disobedience,734,Drama,1
901,Frequency,736,Drama,1
902,Frequency,736,Mystery,2
903,Frequency,736,Crime,8
904,Chronicle,737,Drama,1
905,Chronicle,737,Action,10
906,Chronicle,737,Sci-Fi,13
907,Looper,738,Drama,1
908,Looper,738,Action,10
909,Looper,738,Sci-Fi,13
910,Showgirls,740,Drama,1
911,Waitress,741,Drama,1
912,Waitress,741,Comedy,5
913,Waitress,741,Romance,7
914,"To Sir, with Love",744,Drama,1
915,Man on Fire,745,Drama,1
916,Man on Fire,745,Crime,8
917,Man on Fire,745,Action,10
918,Crazy Rich Asians,746,Drama,1
919,Crazy Rich Asians,746,Comedy,5
920,Crazy Rich Asians,746,Romance,7
921,The Little Things,749,Drama,1
922,The Little Things,749,Mystery,2
923,The Little Things,749,Crime,8
924,The Firm,750,Drama,1
925,The Firm,750,Mystery,2
926,The Firm,750,Thriller,3
927,Unforgiven,752,Drama,1
928,Unforgiven,752,Western,21
929,Big,753,Drama,1
930,Big,753,Comedy,5
931,Big,753,Fantasy,12
932,The Death of Stalin,756,Drama,1
933,The Death of Stalin,756,Comedy,5
934,The Death of Stalin,756,History,9
935,Nightcrawler,758,Drama,1
936,Nightcrawler,758,Thriller,3
937,Nightcrawler,758,Crime,8
938,Love Again,759,Drama,1
939,Love Again,759,Comedy,5
940,Love Again,759,Romance,7
