Year Film,Year Ceremony,Award,Name of Winner,Movie Name,Oscar Award ID
1977,1978,BEST PICTURE,"Charles H. Joffe, Producer",Annie Hall,OWA0060
1977,1978,SHORT FILM (Animated),"Co Hoedeman, Producer",The Sand Castle,OWA0075
1977,1978,SHORT FILM (Live Action),"Beverly Shaffer and Yuki Yoshida, Producers",I'll Find a Way,OWA0076
1977,1978,SOUND,"Don MacDougall, Ray West, Bob Minkler, Derek Ball",Star Wars,OWA0057
1977,1978,VISUAL EFFECTS,"John Stears, John Dykstra, Richard Edlund, Grant McCune, Robert Blalack",Star Wars,OWA0084
1977,1978,WRITING (Screenplay--based on material from another medium),Alvin Sargent,Julia,OWA0055
1977,1978,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),"Woody Allen, Marshall Brickman",Annie Hall,OWA0083
1977,1978,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),Frank E. Warner,Close Encounters of the Third Kind,OWA0085
1978,1979,ACTOR IN A LEADING ROLE,Jon Voight,Coming Home,OWA0080
1978,1979,ACTOR IN A SUPPORTING ROLE,Christopher Walken,The Deer Hunter,OWA0025
1978,1979,ACTRESS IN A LEADING ROLE,Jane Fonda,Coming Home,OWA0081
1978,1979,ACTRESS IN A SUPPORTING ROLE,Maggie Smith,California Suite,OWA0026
1978,1979,ART DIRECTION,"Art Direction:  Paul Sylbert, Edwin O'Donovan;  Set Decoration:  George Gaines",Heaven Can Wait,OWA0003
1978,1979,CINEMATOGRAPHY,Nestor Almendros,Days of Heaven,OWA0004
1978,1979,COSTUME DESIGN,Anthony Powell,Death on the Nile,OWA0053
1978,1979,DIRECTING,Michael Cimino,The Deer Hunter,OWA0012
1978,1979,DOCUMENTARY (Feature),"Arnold Shapiro, Producer",Scared Straight!,OWA0044
1978,1979,DOCUMENTARY (Short Subject),"Jacqueline Phillips Shedd and Ben Shedd, Producers",The Flight of the Gossamer Condor,OWA0037
1978,1979,FILM EDITING,Peter Zinner,The Deer Hunter,OWA0020
1978,1979,FOREIGN LANGUAGE FILM,France,Get Out Your Handkerchiefs,OWA0050
1978,1979,MUSIC (Adaptation Score),Joe Renzetti,The Buddy Holly Story,OWA0086
1978,1979,MUSIC (Original Score),Giorgio Moroder,Midnight Express,OWA0030
1978,1979,MUSIC (Original Song),Music and Lyrics by Paul Jabara,Thank God It's Friday,OWA0078
1978,1979,BEST PICTURE,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",The Deer Hunter,OWA0060
1978,1979,SHORT FILM (Animated),"Eunice Macaulay and John Weldon, Producers",Special Delivery,OWA0075
1978,1979,SHORT FILM (Live Action),"Taylor Hackford, Producer",Teenage Father,OWA0076
1978,1979,SOUND,"Richard Portman, William McCaughey, Aaron Rochin, Darin Knight",The Deer Hunter,OWA0057
1978,1979,WRITING (Screenplay Based on Material from Another Medium),Oliver Stone,Midnight Express,OWA0087
1978,1979,WRITING (Screenplay Written Directly for the Screen),"Story by Nancy Dowd;  Screenplay by Waldo Salt, Robert C. Jones",Coming Home,OWA0088
1978,1979,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, Zoran Perisic",Superman,OWA0073
1979,1980,ACTOR IN A LEADING ROLE,Dustin Hoffman,Kramer vs. Kramer,OWA0080
1979,1980,ACTOR IN A SUPPORTING ROLE,Melvyn Douglas,Being There,OWA0025
1979,1980,ACTRESS IN A LEADING ROLE,Sally Field,Norma Rae,OWA0081
1979,1980,ACTRESS IN A SUPPORTING ROLE,Meryl Streep,Kramer vs. Kramer,OWA0026
1979,1980,ART DIRECTION,"Art Direction:  Philip Rosenberg, Tony Walton;  Set Decoration:  Edward Stewart, Gary Brink",All That Jazz,OWA0003
1979,1980,CINEMATOGRAPHY,Vittorio Storaro,Apocalypse Now,OWA0004
1979,1980,COSTUME DESIGN,Albert Wolsky,All That Jazz,OWA0053
1979,1980,DIRECTING,Robert Benton,Kramer vs. Kramer,OWA0012
1979,1980,DOCUMENTARY (Feature),"Ira Wohl, Producer",Best Boy,OWA0044
1979,1980,DOCUMENTARY (Short Subject),"Saul J. Turell, Producer",Paul Robeson: Tribute to an Artist,OWA0037
1979,1980,FILM EDITING,Alan Heim,All That Jazz,OWA0020
1979,1980,FOREIGN LANGUAGE FILM,Federal Republic of Germany,The Tin Drum,OWA0050
1979,1980,MUSIC (Original Score),Georges Delerue,A Little Romance,OWA0030
1979,1980,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Adaptation Score by Ralph Burns,All That Jazz,OWA0089
1979,1980,MUSIC (Original Song),Music by David Shire; Lyric by Norman Gimbel,Norma Rae,OWA0078
1979,1980,BEST PICTURE,"Stanley R. Jaffe, Producer",Kramer vs. Kramer,OWA0060
1979,1980,SHORT FILM (Animated),"Derek Lamb, Producer",Every Child,OWA0075
1979,1980,SHORT FILM (Live Action),"Sarah Pillsbury and Ron Ellis, Producers",Board and Care,OWA0076
1979,1980,SOUND,"Walter Murch, Mark Berger, Richard Beggs, Nat Boxer",Apocalypse Now,OWA0057
1979,1980,VISUAL EFFECTS,"H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling",Alien,OWA0084
1979,1980,WRITING (Screenplay Based on Material from Another Medium),Robert Benton,Kramer vs. Kramer,OWA0087
1979,1980,WRITING (Screenplay Written Directly for the Screen),Steve Tesich,Breaking Away,OWA0088
1979,1980,SPECIAL ACHIEVEMENT AWARD (Sound Editing),Alan Splet,The Black Stallion,OWA0090
1980,1981,ACTOR IN A LEADING ROLE,Robert De Niro,Raging Bull,OWA0080
1980,1981,ACTOR IN A SUPPORTING ROLE,Timothy Hutton,Ordinary People,OWA0025
1980,1981,ACTRESS IN A LEADING ROLE,Sissy Spacek,Coal Miner's Daughter,OWA0081
1980,1981,ACTRESS IN A SUPPORTING ROLE,Mary Steenburgen,Melvin and Howard,OWA0026
1980,1981,ART DIRECTION,"Art Direction:  Pierre Guffroy, Jack Stephens",Tess,OWA0003
1980,1981,CINEMATOGRAPHY,"Geoffrey Unsworth, Ghislain Cloquet",Tess,OWA0004
1980,1981,COSTUME DESIGN,Anthony Powell,Tess,OWA0053
1980,1981,DIRECTING,Robert Redford,Ordinary People,OWA0012
1980,1981,DOCUMENTARY (Feature),"Murray Lerner, Producer",From Mao to Mozart: Isaac Stern in China,OWA0044
1980,1981,DOCUMENTARY (Short Subject),"Roland Hallé and Peter W. Ladue, Producers",Karl Hess: Toward Liberty,OWA0037
1980,1981,FILM EDITING,Thelma Schoonmaker,Raging Bull,OWA0020
1980,1981,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,Moscow Does Not Believe in Tears,OWA0050
1980,1981,MUSIC (Original Score),Michael Gore,Fame,OWA0030
1980,1981,MUSIC (Original Song),Music by Michael Gore; Lyric by Dean Pitchford,Fame,OWA0078
1980,1981,BEST PICTURE,"Ronald L. Schwary, Producer",Ordinary People,OWA0060
1980,1981,SHORT FILM (Animated),"Ferenc Rofusz, Producer",The Fly,OWA0075
1980,1981,SHORT FILM (Dramatic Live Action),"Lloyd Phillips, Producer",The Dollar Bottom,OWA0091
1980,1981,SOUND,"Bill Varney, Steve Maslow, Gregg Landaker, Peter Sutton",The Empire Strikes Back,OWA0057
1980,1981,WRITING (Screenplay Based on Material from Another Medium),Alvin Sargent,Ordinary People,OWA0087
1980,1981,WRITING (Screenplay Written Directly for the Screen),Bo Goldman,Melvin and Howard,OWA0088
1980,1981,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Brian Johnson, Richard Edlund, Dennis Muren, Bruce Nicholson",The Empire Strikes Back,OWA0073
1981,1982,ACTOR IN A LEADING ROLE,Henry Fonda,On Golden Pond,OWA0080
1981,1982,ACTOR IN A SUPPORTING ROLE,John Gielgud,Arthur,OWA0025
1981,1982,ACTRESS IN A LEADING ROLE,Katharine Hepburn,On Golden Pond,OWA0081
1981,1982,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,Reds,OWA0026
1981,1982,ART DIRECTION,"Art Direction:  Norman Reynolds, Leslie Dilley;  Set Decoration:  Michael Ford",Raiders of the Lost Ark,OWA0003
1981,1982,CINEMATOGRAPHY,Vittorio Storaro,Reds,OWA0004
1981,1982,COSTUME DESIGN,Milena Canonero,Chariots of Fire,OWA0053
1981,1982,DIRECTING,Warren Beatty,Reds,OWA0012
1981,1982,DOCUMENTARY (Feature),"Arnold Schwartzman and Rabbi Marvin Hier, Producers",Genocide,OWA0044
1981,1982,DOCUMENTARY (Short Subject),"Nigel Noble, Producer",Close Harmony,OWA0037
1981,1982,FILM EDITING,Michael Kahn,Raiders of the Lost Ark,OWA0020
1981,1982,FOREIGN LANGUAGE FILM,Hungary,Mephisto,OWA0050
1981,1982,MAKEUP,Rick Baker,An American Werewolf in London,OWA0092
1981,1982,MUSIC (Original Score),Vangelis,Chariots of Fire,OWA0030
1981,1982,MUSIC (Original Song),"Music and Lyric by Burt Bacharach, Carole Bayer Sager, Christopher Cross and Peter Allen",Arthur,OWA0078
1981,1982,BEST PICTURE,"David Puttnam, Producer",Chariots of Fire,OWA0060
1981,1982,SHORT FILM (Animated),"Frédéric Back, Producer",Crac,OWA0075
1981,1982,SHORT FILM (Live Action),"Paul Kemp and Shelley Levinson, Producers",Violet,OWA0076
1981,1982,SOUND,"Bill Varney, Steve Maslow, Gregg Landaker, Roy Charman",Raiders of the Lost Ark,OWA0057
1981,1982,VISUAL EFFECTS,"Richard Edlund, Kit West, Bruce Nicholson, Joe Johnston",Raiders of the Lost Ark,OWA0084
1981,1982,WRITING (Screenplay Based on Material from Another Medium),Ernest Thompson,On Golden Pond,OWA0087
1981,1982,WRITING (Screenplay Written Directly for the Screen),Colin Welland,Chariots of Fire,OWA0088
1981,1982,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),"Ben Burtt, Richard L. Anderson",Raiders of the Lost Ark,OWA0085
1982,1983,ACTOR IN A LEADING ROLE,Ben Kingsley,Gandhi,OWA0080
1982,1983,ACTOR IN A SUPPORTING ROLE,"Louis Gossett, Jr.",An Officer and a Gentleman,OWA0025
1982,1983,ACTRESS IN A LEADING ROLE,Meryl Streep,Sophie's Choice,OWA0081
1982,1983,ACTRESS IN A SUPPORTING ROLE,Jessica Lange,Tootsie,OWA0026
1982,1983,ART DIRECTION,"Art Direction:  Stuart Craig, Bob Laing;  Set Decoration:  Michael Seirton",Gandhi,OWA0003
1982,1983,CINEMATOGRAPHY,"Billy Williams, Ronnie Taylor",Gandhi,OWA0004
1982,1983,COSTUME DESIGN,"John Mollo, Bhanu Athaiya",Gandhi,OWA0053
1982,1983,DIRECTING,Richard Attenborough,Gandhi,OWA0012
1982,1983,DOCUMENTARY (Feature),"John Zaritsky, Producer",Just Another Missing Kid,OWA0044
1982,1983,DOCUMENTARY (Short Subject),"Edward Le Lorrain and Terri Nash, Producers",If You Love This Planet,OWA0037
1982,1983,FILM EDITING,John Bloom,Gandhi,OWA0020
1982,1983,FOREIGN LANGUAGE FILM,Spain,Volver a Empezar ('To Begin Again'),OWA0050
1982,1983,MAKEUP,"Sarah Monzani, Michèle Burke",Quest for Fire,OWA0092
1982,1983,MUSIC (Original Score),John Williams,E.T. The Extra-Terrestrial,OWA0030
1982,1983,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Song Score by Henry Mancini and Leslie Bricusse; Adaptation Score by Henry Mancini,Victor/Victoria,OWA0089
1982,1983,MUSIC (Original Song),Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings,An Officer and a Gentleman,OWA0078
1982,1983,BEST PICTURE,"Richard Attenborough, Producer",Gandhi,OWA0060
1982,1983,SHORT FILM (Animated),"Zbigniew Rybczynski, Producer",Tango,OWA0075
1982,1983,SHORT FILM (Live Action),"Christine Oestreicher, Producer",A Shocking Accident,OWA0076
1982,1983,SOUND,"Robert Knudson, Robert Glass, Don Digirolamo, Gene Cantamessa",E.T. The Extra-Terrestrial,OWA0057
1982,1983,SOUND EFFECTS EDITING,"Charles L. Campbell, Ben Burtt",E.T. The Extra-Terrestrial,OWA0093
1982,1983,VISUAL EFFECTS,"Carlo Rambaldi, Dennis Muren, Kenneth F. Smith",E.T. The Extra-Terrestrial,OWA0084
1982,1983,WRITING (Screenplay Based on Material from Another Medium),"Costa-Gavras, Donald Stewart",Missing,OWA0087
1982,1983,WRITING (Screenplay Written Directly for the Screen),John Briley,Gandhi,OWA0088
1983,1984,ACTOR IN A LEADING ROLE,Robert Duvall,Tender Mercies,OWA0080
1983,1984,ACTOR IN A SUPPORTING ROLE,Jack Nicholson,Terms of Endearment,OWA0025
1983,1984,ACTRESS IN A LEADING ROLE,Shirley MacLaine,Terms of Endearment,OWA0081
1983,1984,ACTRESS IN A SUPPORTING ROLE,Linda Hunt,The Year of Living Dangerously,OWA0026
1983,1984,ART DIRECTION,Anna Asp,Fanny & Alexander,OWA0003
1983,1984,CINEMATOGRAPHY,Sven Nykvist,Fanny & Alexander,OWA0004
1983,1984,COSTUME DESIGN,Marik Vos,Fanny & Alexander,OWA0053
1983,1984,DIRECTING,James L. Brooks,Terms of Endearment,OWA0012
1983,1984,DOCUMENTARY (Feature),"Emile Ardolino, Producer",He Makes Me Feel Like Dancin',OWA0044
1983,1984,DOCUMENTARY (Short Subject),"Cynthia Scott and Adam Symansky, Producers",Flamenco at 5:15,OWA0037
1983,1984,FILM EDITING,"Glenn Farr, Lisa Fruchtman, Stephen A. Rotter, Douglas Stewart, Tom Rolf",The Right Stuff,OWA0020
1983,1984,FOREIGN LANGUAGE FILM,Sweden,Fanny & Alexander,OWA0050
1983,1984,MUSIC (Original Score),Bill Conti,The Right Stuff,OWA0030
1983,1984,MUSIC (Original Song Score or Adaptation Score),"Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman",Yentl,OWA0094
1983,1984,MUSIC (Original Song),Music by Giorgio Moroder; Lyric by Keith Forsey and Irene Cara,Flashdance,OWA0078
1983,1984,BEST PICTURE,"James L. Brooks, Producer",Terms of Endearment,OWA0060
1983,1984,SHORT FILM (Animated),"Jimmy Picker, Producer",Sundae in New York,OWA0075
1983,1984,SHORT FILM (Live Action),"Janice L. Platt, Producer",Boys and Girls,OWA0076
1983,1984,SOUND,"Mark Berger, Tom Scott, Randy Thom, David MacMillan",The Right Stuff,OWA0057
1983,1984,SOUND EFFECTS EDITING,Jay Boekelheide,The Right Stuff,OWA0093
1983,1984,WRITING (Screenplay Based on Material from Another Medium),James L. Brooks,Terms of Endearment,OWA0087
1983,1984,WRITING (Screenplay Written Directly for the Screen),Horton Foote,Tender Mercies,OWA0088
1983,1984,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett",Return of the Jedi,OWA0073
1984,1985,ACTOR IN A LEADING ROLE,F. Murray Abraham,Amadeus,OWA0080
1984,1985,ACTOR IN A SUPPORTING ROLE,Haing S. Ngor,The Killing Fields,OWA0025
1984,1985,ACTRESS IN A LEADING ROLE,Sally Field,Places in the Heart,OWA0081
1984,1985,ACTRESS IN A SUPPORTING ROLE,Peggy Ashcroft,A Passage to India,OWA0026
1984,1985,ART DIRECTION,Art Direction:  Patrizia Von Brandenstein;  Set Decoration:  Karel Cerny,Amadeus,OWA0003
1984,1985,CINEMATOGRAPHY,Chris Menges,The Killing Fields,OWA0004
1984,1985,COSTUME DESIGN,Theodor Pistek,Amadeus,OWA0053
1984,1985,DIRECTING,Milos Forman,Amadeus,OWA0012
1984,1985,DOCUMENTARY (Feature),"Robert Epstein and Richard Schmiechen, Producers",The Times of Harvey Milk,OWA0044
1984,1985,DOCUMENTARY (Short Subject),"Marjorie Hunt and Paul Wagner, Producers",The Stone Carvers,OWA0037
1984,1985,FILM EDITING,Jim Clark,The Killing Fields,OWA0020
1984,1985,FOREIGN LANGUAGE FILM,Switzerland,Dangerous Moves,OWA0050
1984,1985,MAKEUP,"Paul LeBlanc, Dick Smith",Amadeus,OWA0092
1984,1985,MUSIC (Original Score),Maurice Jarre,A Passage to India,OWA0030
1984,1985,MUSIC (Original Song Score),Prince,Purple Rain,OWA0068
1984,1985,MUSIC (Original Song),Music and Lyric by Stevie Wonder,The Woman in Red,OWA0078
1984,1985,BEST PICTURE,"Saul Zaentz, Producer",Amadeus,OWA0060
1984,1985,SHORT FILM (Animated),"Jon Minnis, Producer",Charade,OWA0075
1984,1985,SHORT FILM (Live Action),"Mike Hoover, Producer",Up,OWA0076
1984,1985,SOUND,"Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman",Amadeus,OWA0057
1984,1985,VISUAL EFFECTS,"Dennis Muren, Michael McAlister, Lorne Peterson, George Gibbs",Indiana Jones and the Temple of Doom,OWA0084
1984,1985,WRITING (Screenplay Based on Material from Another Medium),Peter Shaffer,Amadeus,OWA0087
1984,1985,WRITING (Screenplay Written Directly for the Screen),Robert Benton,Places in the Heart,OWA0088
1984,1985,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),Kay Rose,The River,OWA0085
1985,1986,ACTOR IN A LEADING ROLE,William Hurt,Kiss of the Spider Woman,OWA0080
1985,1986,ACTOR IN A SUPPORTING ROLE,Don Ameche,Cocoon,OWA0025
1985,1986,ACTRESS IN A LEADING ROLE,Geraldine Page,The Trip to Bountiful,OWA0081
1985,1986,ACTRESS IN A SUPPORTING ROLE,Anjelica Huston,Prizzi's Honor,OWA0026
1985,1986,ART DIRECTION,Art Direction:  Stephen Grimes;  Set Decoration:  Josie MacAvin,Out of Africa,OWA0003
1985,1986,CINEMATOGRAPHY,David Watkin,Out of Africa,OWA0004
1985,1986,COSTUME DESIGN,Emi Wada,Ran,OWA0053
1985,1986,DIRECTING,Sydney Pollack,Out of Africa,OWA0012
1985,1986,DOCUMENTARY (Feature),"Maria Florio and Victoria Mudd, Producers",Broken Rainbow,OWA0044
1985,1986,DOCUMENTARY (Short Subject),"David Goodman, Producer",Witness to War: Dr. Charlie Clements,OWA0037
1985,1986,FILM EDITING,Thom Noble,Witness,OWA0020
1985,1986,FOREIGN LANGUAGE FILM,Argentina,The Official Story,OWA0050
1985,1986,MAKEUP,"Michael Westmore, Zoltan Elek",Mask,OWA0092
1985,1986,MUSIC (Original Score),John Barry,Out of Africa,OWA0030
1985,1986,MUSIC (Original Song),Music and Lyric by Lionel Richie,White Nights,OWA0078
1985,1986,BEST PICTURE,"Sydney Pollack, Producer",Out of Africa,OWA0060
1985,1986,SHORT FILM (Animated),"Cilia Van Dijk, Producer",Anna & Bella,OWA0075
1985,1986,SHORT FILM (Live Action),"Jeff Brown and Chris Pelzer, Producers",Molly's Pilgrim,OWA0076
1985,1986,SOUND,"Chris Jenkins, Gary Alexander, Larry Stensvold, Peter Handford",Out of Africa,OWA0057
1985,1986,SOUND EFFECTS EDITING,"Charles L. Campbell, Robert Rutledge",Back to the Future,OWA0093
1985,1986,VISUAL EFFECTS,"Ken Ralston, Ralph McQuarrie, Scott Farrar, David Berry",Cocoon,OWA0084
1985,1986,WRITING (Screenplay Based on Material from Another Medium),Kurt Luedtke,Out of Africa,OWA0087
1985,1986,WRITING (Screenplay Written Directly for the Screen),"Screenplay by Earl W. Wallace, William Kelley;  Story by William Kelley, Pamela Wallace, Earl W. Wallace",Witness,OWA0088
1986,1987,ACTOR IN A LEADING ROLE,Paul Newman,The Color of Money,OWA0080
1986,1987,ACTOR IN A SUPPORTING ROLE,Michael Caine,Hannah and Her Sisters,OWA0025
1986,1987,ACTRESS IN A LEADING ROLE,Marlee Matlin,Children of a Lesser God,OWA0081
1986,1987,ACTRESS IN A SUPPORTING ROLE,Dianne Wiest,Hannah and Her Sisters,OWA0026
1986,1987,ART DIRECTION,"Art Direction:  Gianni Quaranta, Brian Ackland-Snow;  Set Decoration:  Brian Savegar, Elio Altamura",A Room with a View,OWA0003
1986,1987,CINEMATOGRAPHY,Chris Menges,The Mission,OWA0004
1986,1987,COSTUME DESIGN,"Jenny Beavan, John Bright",A Room with a View,OWA0053
1986,1987,DIRECTING,Oliver Stone,Platoon,OWA0012
1986,1987,DOCUMENTARY (Feature),"Brigitte Berman, Producer",Artie Shaw: Time Is All You've Got,OWA0044
1986,1987,DOCUMENTARY (Feature),"Joseph Feury and Milton Justice, Producers",Down and Out in America,OWA0044
1986,1987,DOCUMENTARY (Short Subject),"Vivienne Verdon-Roe, Producer","Women--for America, for the World",OWA0037
1986,1987,FILM EDITING,Claire Simpson,Platoon,OWA0020
1986,1987,FOREIGN LANGUAGE FILM,The Netherlands,The Assault,OWA0050
1986,1987,MAKEUP,"Chris Walas, Stephan Dupuis",The Fly,OWA0092
1986,1987,MUSIC (Original Score),Herbie Hancock,'Round Midnight,OWA0030
1986,1987,MUSIC (Original Song),Music by Giorgio Moroder; Lyric by Tom Whitlock,Top Gun,OWA0078
1986,1987,BEST PICTURE,"Arnold Kopelson, Producer",Platoon,OWA0060
1986,1987,SHORT FILM (Animated),"Linda Van Tulden and Willem Thijssen, Producers",A Greek Tragedy,OWA0075
1986,1987,SHORT FILM (Live Action),"Chuck Workman, Producer",Precious Images,OWA0076
1986,1987,SOUND,"John K. Wilkinson, Richard Rogers, Charles 'Bud' Grenzbach,  Simon Kaye",Platoon,OWA0057
1986,1987,SOUND EFFECTS EDITING,Don Sharpe,Aliens,OWA0093
1986,1987,VISUAL EFFECTS,"Robert Skotak, Stan Winston, John Richardson, Suzanne Benson",Aliens,OWA0084
1986,1987,WRITING (Screenplay Based on Material from Another Medium),Ruth Prawer Jhabvala,A Room with a View,OWA0087
1986,1987,WRITING (Screenplay Written Directly for the Screen),Woody Allen,Hannah and Her Sisters,OWA0088
1987,1988,ACTOR IN A LEADING ROLE,Michael Douglas,Wall Street,OWA0080
1987,1988,ACTOR IN A SUPPORTING ROLE,Sean Connery,The Untouchables,OWA0025
1987,1988,ACTRESS IN A LEADING ROLE,Cher,Moonstruck,OWA0081
1987,1988,ACTRESS IN A SUPPORTING ROLE,Olympia Dukakis,Moonstruck,OWA0026
1987,1988,ART DIRECTION,"Art Direction:  Ferdinando Scarfiotti;  Set Decoration:  Bruno Cesari, Osvaldo Desideri",The Last Emperor,OWA0003
1987,1988,CINEMATOGRAPHY,Vittorio Storaro,The Last Emperor,OWA0004
1987,1988,COSTUME DESIGN,James Acheson,The Last Emperor,OWA0053
1987,1988,DIRECTING,Bernardo Bertolucci,The Last Emperor,OWA0012
1987,1988,DOCUMENTARY (Feature),"Aviva Slesin, Producer",The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,OWA0044
1987,1988,DOCUMENTARY (Short Subject),"Sue Marx and Pamela Conn, Producers",Young at Heart,OWA0037
1987,1988,FILM EDITING,Gabriella Cristiani,The Last Emperor,OWA0020
1987,1988,FOREIGN LANGUAGE FILM,Denmark,Babette's Feast,OWA0050
1987,1988,MAKEUP,Rick Baker,Harry and the Hendersons,OWA0092
1987,1988,MUSIC (Original Score),"Ryuichi Sakamoto, David Byrne, Cong Su",The Last Emperor,OWA0030
1987,1988,MUSIC (Original Song),"Music by Franke Previte, John DeNicola and Donald Markowitz; Lyric by Franke Previte",Dirty Dancing,OWA0078
1987,1988,BEST PICTURE,"Jeremy Thomas, Producer",The Last Emperor,OWA0060
1987,1988,SHORT FILM (Animated),"Frédéric Back, Producer",The Man Who Planted Trees,OWA0075
1987,1988,SHORT FILM (Live Action),"Jonathan Sanger and Jana Sue Memel, Producers",Ray's Male Heterosexual Dance Hall,OWA0076
1987,1988,SOUND,"Bill Rowe, Ivan Sharrock",The Last Emperor,OWA0057
1987,1988,VISUAL EFFECTS,"Dennis Muren, William George, Harley Jessup, Kenneth Smith",Innerspace,OWA0084
1987,1988,WRITING (Screenplay Based on Material from Another Medium),"Mark Peploe, Bernardo Bertolucci",The Last Emperor,OWA0087
1987,1988,WRITING (Screenplay Written Directly for the Screen),John Patrick Shanley,Moonstruck,OWA0088
1987,1988,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),"Stephen Flick, John Pospisil",RoboCop,OWA0085
1988,1989,ACTOR IN A LEADING ROLE,Dustin Hoffman,Rain Man,OWA0080
1988,1989,ACTOR IN A SUPPORTING ROLE,Kevin Kline,A Fish Called Wanda,OWA0025
1988,1989,ACTRESS IN A LEADING ROLE,Jodie Foster,The Accused,OWA0081
1988,1989,ACTRESS IN A SUPPORTING ROLE,Geena Davis,The Accidental Tourist,OWA0026
1988,1989,ART DIRECTION,Art Direction:  Stuart Craig;  Set Decoration:  Gerard James,Dangerous Liaisons,OWA0003
1988,1989,CINEMATOGRAPHY,Peter Biziou,Mississippi Burning,OWA0004
1988,1989,COSTUME DESIGN,James Acheson,Dangerous Liaisons,OWA0053
1988,1989,DIRECTING,Barry Levinson,Rain Man,OWA0012
1988,1989,DOCUMENTARY (Feature),"Marcel Ophuls, Producer",Hotel Terminus: The Life and Times of Klaus Barbie,OWA0044
1988,1989,DOCUMENTARY (Short Subject),"William Guttentag and Malcolm Clarke, Producers",You Don't Have to Die,OWA0037
1988,1989,FILM EDITING,Arthur Schmidt,Who Framed Roger Rabbit,OWA0020
1988,1989,FOREIGN LANGUAGE FILM,Denmark,Pelle the Conqueror,OWA0050
1988,1989,MAKEUP,"Ve Neill, Steve La Porte, Robert Short",Beetlejuice,OWA0092
1988,1989,MUSIC (Original Score),Dave Grusin,The Milagro Beanfield War,OWA0030
1988,1989,MUSIC (Original Song),Music and Lyric by Carly Simon,Working Girl,OWA0078
1988,1989,BEST PICTURE,"Mark Johnson, Producer",Rain Man,OWA0060
1988,1989,SHORT FILM (Animated),"John Lasseter, William Reeves",Tin Toy,OWA0075
1988,1989,SHORT FILM (Live Action),"Dean Parisot, Steven Wright",The Appointments of Dennis Jennings,OWA0076
1988,1989,SOUND,"Les Fresholtz, Dick Alexander, Vern Poore, Willie D. Burton",Bird,OWA0057
1988,1989,SOUND EFFECTS EDITING,"Charles L. Campbell, Louis L. Edemann",Who Framed Roger Rabbit,OWA0093
1988,1989,VISUAL EFFECTS,"Ken Ralston, Richard Williams, Edward Jones, George Gibbs",Who Framed Roger Rabbit,OWA0084
1988,1989,WRITING (Screenplay Based on Material from Another Medium),Christopher Hampton,Dangerous Liaisons,OWA0087
1988,1989,WRITING (Screenplay Written Directly for the Screen),"Screenplay by Ronald Bass, Barry Morrow;  Story by Barry Morrow",Rain Man,OWA0088
1989,1990,ACTOR IN A LEADING ROLE,Daniel Day Lewis,My Left Foot,OWA0080
1989,1990,ACTOR IN A SUPPORTING ROLE,Denzel Washington,Glory,OWA0025
1989,1990,ACTRESS IN A LEADING ROLE,Jessica Tandy,Driving Miss Daisy,OWA0081
1989,1990,ACTRESS IN A SUPPORTING ROLE,Brenda Fricker,My Left Foot,OWA0026
1989,1990,ART DIRECTION,Art Direction:  Anton Furst;  Set Decoration:  Peter Young,Batman,OWA0003
1989,1990,CINEMATOGRAPHY,Freddie Francis,Glory,OWA0004
1989,1990,COSTUME DESIGN,Phyllis Dalton,Henry V,OWA0053
1989,1990,DIRECTING,Oliver Stone,Born on the Fourth of July,OWA0012
1989,1990,DOCUMENTARY (Feature),"Robert Epstein and Bill Couturié, Producers",Common Threads: Stories from the Quilt,OWA0044
1989,1990,DOCUMENTARY (Short Subject),"Charles Guggenheim, Producer",The Johnstown Flood,OWA0037
1989,1990,FILM EDITING,"David Brenner, Joe Hutshing",Born on the Fourth of July,OWA0020
1989,1990,FOREIGN LANGUAGE FILM,Italy,Cinema Paradiso,OWA0050
1989,1990,MAKEUP,"Manlio Rocchetti, Lynn Barber, Kevin Haney",Driving Miss Daisy,OWA0092
1989,1990,MUSIC (Original Score),Alan Menken,The Little Mermaid,OWA0030
