Year Film,Year Ceremony,Award,Name of Winner,Movie Name,Oscar Award ID
1941,1942,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,Main Street on the March!,OWA0029
1941,1942,SOUND RECORDING,"General Service Sound Department, Jack Whitney, Sound Director",That Hamilton Woman,OWA0015
1941,1942,SPECIAL EFFECTS,"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop",I Wanted Wings,OWA0033
1941,1942,WRITING (Original Screenplay),"Herman J. Mankiewicz, Orson Welles",Citizen Kane,OWA0036
1941,1942,WRITING (Original Story),Harry Segall,Here Comes Mr. Jordan,OWA0011
1941,1942,WRITING (Screenplay),"Sidney Buchman, Seton I. Miller",Here Comes Mr. Jordan,OWA0024
1942,1943,ACTOR,James Cagney,Yankee Doodle Dandy,OWA0001
1942,1943,ACTOR IN A SUPPORTING ROLE,Van Heflin,Johnny Eager,OWA0025
1942,1943,ACTRESS,Greer Garson,Mrs. Miniver,OWA0002
1942,1943,ACTRESS IN A SUPPORTING ROLE,Teresa Wright,Mrs. Miniver,OWA0026
1942,1943,ART DIRECTION (Black-and-White),"Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little",This above All,OWA0034
1942,1943,ART DIRECTION (Color),"Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little",My Gal Sal,OWA0035
1942,1943,CINEMATOGRAPHY (Black-and-White),Joseph Ruttenberg,Mrs. Miniver,OWA0031
1942,1943,CINEMATOGRAPHY (Color),Leon Shamroy,The Black Swan,OWA0032
1942,1943,DIRECTING,William Wyler,Mrs. Miniver,OWA0012
1942,1943,DOCUMENTARY,United States Navy,The Battle of Midway,OWA0041
1942,1943,DOCUMENTARY,Australian News & Information Bureau,Kokoda Front Line!,OWA0041
1942,1943,DOCUMENTARY,Artkino,Moscow Strikes Back,OWA0041
1942,1943,DOCUMENTARY,United States Army Special Services,Prelude to War,OWA0041
1942,1943,FILM EDITING,Daniel Mandell,The Pride of the Yankees,OWA0020
1942,1943,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,"Now, Voyager",OWA0042
1942,1943,MUSIC (Scoring of a Musical Picture),"Ray Heindorf, Heinz Roemheld",Yankee Doodle Dandy,OWA0039
1942,1943,MUSIC (Song),Music and Lyrics by Irving Berlin,Holiday Inn,OWA0022
1942,1943,OUTSTANDING MOTION PICTURE,Metro-Goldwyn-Mayer,Mrs. Miniver,OWA0040
1942,1943,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Der Fuehrer's Face,OWA0016
1942,1943,SHORT SUBJECT (One-reel),Paramount,Speaking of Animals and Their Families,OWA0028
1942,1943,SHORT SUBJECT (Two-reel),Warner Bros.,Beyond the Line of Duty,OWA0029
1942,1943,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",Yankee Doodle Dandy,OWA0015
1942,1943,SPECIAL EFFECTS,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop",Reap the Wild Wind,OWA0033
1942,1943,WRITING (Original Motion Picture Story),Emeric Pressburger,The Invaders,OWA0043
1942,1943,WRITING (Original Screenplay),"Ring Lardner, Jr., Michael Kanin",Woman of the Year,OWA0036
1942,1943,WRITING (Screenplay),"Arthur Wimperis, George Froeschel, James Hilton, Claudine West",Mrs. Miniver,OWA0024
1943,1944,ACTOR,Paul Lukas,Watch on the Rhine,OWA0001
1943,1944,ACTOR IN A SUPPORTING ROLE,Charles Coburn,The More the Merrier,OWA0025
1943,1944,ACTRESS,Jennifer Jones,The Song of Bernadette,OWA0002
1943,1944,ACTRESS IN A SUPPORTING ROLE,Katina Paxinou,For Whom the Bell Tolls,OWA0026
1943,1944,ART DIRECTION (Black-and-White),"Art Direction:  James Basevi, William Darling;  Interior Decoration:  Thomas Little",The Song of Bernadette,OWA0034
1943,1944,ART DIRECTION (Color),"Art Direction:  John B. Goodman, Alexander Golitzen;  Interior Decoration:  Russell A. Gausman, Ira S. Webb",Phantom of the Opera,OWA0035
1943,1944,CINEMATOGRAPHY (Black-and-White),Arthur Miller,The Song of Bernadette,OWA0031
1943,1944,CINEMATOGRAPHY (Color),"Hal Mohr, W. Howard Greene",Phantom of the Opera,OWA0032
1943,1944,DIRECTING,Michael Curtiz,Casablanca,OWA0012
1943,1944,DOCUMENTARY (Feature),British Ministry of Information,Desert Victory,OWA0044
1943,1944,DOCUMENTARY (Short Subject),United States Navy,December 7th,OWA0037
1943,1944,FILM EDITING,George Amy,Air Force,OWA0020
1943,1944,MUSIC (Music Score of a Dramatic or Comedy Picture),Alfred Newman,The Song of Bernadette,OWA0042
1943,1944,MUSIC (Scoring of a Musical Picture),Ray Heindorf,This Is the Army,OWA0039
1943,1944,MUSIC (Song),Music by Harry Warren; Lyrics by Mack Gordon,"Hello, Frisco, Hello",OWA0022
1943,1944,OUTSTANDING MOTION PICTURE,Warner Bros.,Casablanca,OWA0040
1943,1944,SHORT SUBJECT (Cartoon),"Frederick Quimby, Producer",Yankee Doodle Mouse,OWA0016
1943,1944,SHORT SUBJECT (One-reel),"Grantland Rice, Producer",Amphibious Fighters,OWA0028
1943,1944,SHORT SUBJECT (Two-reel),"Jerry Bresler and Sam Coslow, Producers",Heavenly Music,OWA0029
1943,1944,SOUND RECORDING,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",This Land Is Mine,OWA0015
1943,1944,SPECIAL EFFECTS,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman,Crash Dive,OWA0033
1943,1944,WRITING (Original Motion Picture Story),William Saroyan,The Human Comedy,OWA0043
1943,1944,WRITING (Original Screenplay),Norman Krasna,Princess O'Rourke,OWA0036
1943,1944,WRITING (Screenplay),"Julius J. Epstein, Philip G. Epstein, Howard Koch",Casablanca,OWA0024
1944,1945,ACTOR,Bing Crosby,Going My Way,OWA0001
1944,1945,ACTOR IN A SUPPORTING ROLE,Barry Fitzgerald,Going My Way,OWA0025
1944,1945,ACTRESS,Ingrid Bergman,Gaslight,OWA0002
1944,1945,ACTRESS IN A SUPPORTING ROLE,Ethel Barrymore,None but the Lonely Heart,OWA0026
1944,1945,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, William Ferrari;  Interior Decoration:  Edwin B. Willis, Paul Huldschinsky",Gaslight,OWA0034
1944,1945,ART DIRECTION (Color),Art Direction:  Wiard Ihnen;  Interior Decoration:  Thomas Little,Wilson,OWA0035
1944,1945,CINEMATOGRAPHY (Black-and-White),Joseph LaShelle,Laura,OWA0031
1944,1945,CINEMATOGRAPHY (Color),Leon Shamroy,Wilson,OWA0032
1944,1945,DIRECTING,Leo McCarey,Going My Way,OWA0012
