,Movie Name,year,status,award,movie
105,Sam Rockwell,2018,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Three Billboards Outside Ebbing, Missouri"
106,Guillermo Del Toro,2018,Winner,Best Director - Motion Picture,The Shape of Water
107,Martin McDonagh,2018,Winner,Best Screenplay - Motion Picture,"Three Billboards Outside Ebbing, Missouri"
108,Alexandre Desplat,2018,Winner,Best Original Score - Motion Picture,The Shape of Water
109,Martin McDonagh,2018,Winner,Best Screenplay - Motion Picture,"Three Billboards Outside Ebbing, Missouri"
110,Alexandre Desplat,2018,Winner,Best Original Score - Motion Picture,The Shape of Water
111,Zootopia,2017,Winner,Best Motion Picture - Animated,
112,Moonlight,2017,Winner,Best Motion Picture - Drama,
113,Elle,2017,Winner,Best Motion Picture – Non-English Language,
114,La La Land,2017,Winner,Best Motion Picture - Musical or Comedy,
115,Justin Hurwitz,2017,Winner,Best Original Score - Motion Picture,La La Land
116,"""City of Stars""",2017,Winner,Best Original Song - Motion Picture,La La Land
117,Casey Affleck,2017,Winner,Best Performance by an Actor in a Motion Picture - Drama,Manchester by the Sea
118,Ryan Gosling,2017,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,La La Land
119,Aaron Taylor-Johnson,2017,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Nocturnal Animals
120,Isabelle Huppert,2017,Winner,Best Performance by an Actress in a Motion Picture - Drama,Elle
121,Isabelle Huppert,2017,Winner,Best Performance by an Actress in a Motion Picture - Drama,Elle
122,Alejandro González Iñárritu,2016,Winner,Best Director - Motion Picture,The Revenant
123,Inside Out,2016,Winner,Best Motion Picture - Animated,
124,The Revenant,2016,Winner,Best Motion Picture - Drama,
125,Son of Saul,2016,Winner,Best Motion Picture – Non-English Language,
126,The Martian,2016,Winner,Best Motion Picture - Musical or Comedy,
127,Ennio Morricone,2016,Winner,Best Original Score - Motion Picture,The Hateful Eight
128,"""Writing's On The Wall""",2016,Winner,Best Original Song - Motion Picture,Spectre
129,Leonardo DiCaprio,2016,Winner,Best Performance by an Actor in a Motion Picture - Drama,The Revenant
130,Matt Damon,2016,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,The Martian
131,Sylvester Stallone,2016,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Creed
132,Kate Winslet,2016,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Steve Jobs
133,Aaron Sorkin,2016,Winner,Best Screenplay - Motion Picture,Steve Jobs
134,Eddie Redmayne,2015,Winner,Best Performance by an Actor in a Motion Picture - Drama,The Theory of Everything
135,Jóhann Jóhannsson,2015,Winner,Best Original Score - Motion Picture,The Theory of Everything
136,Patricia Arquette,2015,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Boyhood
137,Richard Linklater,2015,Winner,Best Director - Motion Picture,Boyhood
138,Michael Keaton,2015,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Birdman
139,"Alejandro González Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Armando Bó",2015,Winner,Best Screenplay - Motion Picture,Birdman
140,Amy Adams,2015,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Big Eyes
141,Julianne Moore,2015,Winner,Best Performance by an Actress in a Motion Picture - Drama,Still Alice
142,J.K. Simmons,2015,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Whiplash
143,"Grand Budapest Hotel, The",2015,Winner,Best Motion Picture - Musical or Comedy,
144,How to Train Your Dragon 2,2015,Winner,Best Motion Picture - Animated,
145,Leviathan,2015,Winner,Best Motion Picture – Non-English Language,
146,"""Glory""",2015,Winner,Best Original Song - Motion Picture,Selma
147,Boyhood,2015,Winner,Best Motion Picture - Drama,
148,Alfonso Cuarón,2014,Winner,Best Director - Motion Picture,Gravity
149,Amy Adams,2014,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,American Hustle
150,Jennifer Lawrence,2014,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,American Hustle
151,Jennifer Lawrence,2014,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,American Hustle
152,Matthew McConaughey,2014,Winner,Best Performance by an Actor in a Motion Picture - Drama,Dallas Buyers Club
153,Jared Leto,2014,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Dallas Buyers Club
154,Leonardo DiCaprio,2014,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Wolf of Wall Street, The"
155,American Hustle,2014,Winner,Best Motion Picture - Musical or Comedy,
156,Frozen,2014,Winner,Best Motion Picture - Animated,
157,The Great Beauty,2014,Winner,Best Motion Picture – Non-English Language,
158,12 Years a Slave,2014,Winner,Best Motion Picture - Drama,
159,Ordinary Love,2014,Winner,Best Original Song - Motion Picture,Mandela: Long Walk to Freedom
160,Ben Affleck,2013,Winner,Best Director - Motion Picture,Argo
161,Christoph Waltz,2013,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Django Unchained
162,Mychael Danna,2013,Winner,Best Original Score - Motion Picture,Life of Pi
163,Daniel Day-Lewis,2013,Winner,Best Performance by an Actor in a Motion Picture - Drama,Lincoln
164,Jennifer Lawrence,2013,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Silver Linings Playbook
165,Jessica Chastain,2013,Winner,Best Performance by an Actress in a Motion Picture - Drama,Zero Dark Thirty
166,Jennifer Lawrence,2013,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Silver Linings Playbook
167,Jessica Chastain,2013,Winner,Best Performance by an Actress in a Motion Picture - Drama,Zero Dark Thirty
168,Anne Hathaway,2013,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Les Misérables
169,Quentin Tarantino,2013,Winner,Best Screenplay - Motion Picture,Django Unchained
170,Les Misérables,2013,Winner,Best Motion Picture - Musical or Comedy,
171,Brave,2013,Winner,Best Motion Picture - Animated,
172,Amour,2013,Winner,Best Motion Picture – Non-English Language,
173,Argo,2013,Winner,Best Motion Picture - Drama,
174,Michelle Williams,2012,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,My Week With Marilyn
175,Jean Dujardin,2012,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,The Artist
176,A Separation,2012,Winner,Best Motion Picture – Non-English Language,
177,Octavia Spencer,2012,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,The Help
178,Christopher Plummer,2012,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Beginners
179,Martin Scorsese,2012,Winner,Best Director - Motion Picture,Hugo
180,Ludovic Bource,2012,Winner,Best Original Score - Motion Picture,The Artist
181,Martin Scorsese,2012,Winner,Best Director - Motion Picture,Hugo
182,Ludovic Bource,2012,Winner,Best Original Score - Motion Picture,The Artist
183,"""Masterpiece""",2012,Winner,Best Original Song - Motion Picture,W.E.
184,"Descendants, The",2012,Winner,Best Motion Picture - Drama,
185,The Artist,2012,Winner,Best Motion Picture - Musical or Comedy,
186,"Adventures of Tintin, The",2012,Winner,Best Motion Picture - Animated,
