Movie_ID,Movie_Name,Oscar_Award_ID,GG_Award_ID
2149,Oliver!,OWA0057,GG004
2149,Oliver!,OWA0057,GG006
2150,Romeo and Juliet,OWA0004,GG016
2150,Romeo and Juliet,OWA0004,GG017
2150,Romeo and Juliet,OWA0004,GG021
2150,Romeo and Juliet,OWA0053,GG016
2150,Romeo and Juliet,OWA0053,GG017
2150,Romeo and Juliet,OWA0053,GG021
2151,Journey into Self,OWA0044,
2152,Why Man Creates,OWA0037,
2153,Bullitt,OWA0020,
2154,War and Peace,OWA0050,GG022
2155,The Thomas Crown Affair,OWA0066,GG014
2156,Winnie the Pooh and the Blustery Day,OWA0016,
2157,Robert Kennedy Remembered,OWA0054,
2158,The Producers,OWA0056,
2159,True Grit,OWA0001,GG003
2160,"They Shoot Horses, Don't They?",OWA0025,GG010
2161,The Prime of Miss Jean Brodie,OWA0002,GG014
2162,Cactus Flower,OWA0026,GG009
2163,"Hello, Dolly!",OWA0003,
2163,"Hello, Dolly!",OWA0065,
2163,"Hello, Dolly!",OWA0057,
2164,Butch Cassidy and the Sundance Kid,OWA0004,
2164,Butch Cassidy and the Sundance Kid,OWA0064,
2164,Butch Cassidy and the Sundance Kid,OWA0066,
2164,Butch Cassidy and the Sundance Kid,OWA0067,
2165,Anne of the Thousand Days,OWA0053,GG012
2165,Anne of the Thousand Days,OWA0053,GG001
2165,Anne of the Thousand Days,OWA0053,GG011
2165,Anne of the Thousand Days,OWA0053,GG002
2166,Midnight Cowboy,OWA0012,GG017
2166,Midnight Cowboy,OWA0060,GG017
2166,Midnight Cowboy,OWA0055,GG017
2167,Arthur Rubinstein - The Love of Life,OWA0044,
2168,Czechoslovakia 1968,OWA0037,
2169,Z,OWA0020,GG022
2169,Z,OWA0050,GG022
2170,It's Tough to Be a Bird,OWA0016,
2171,The Magic Machines,OWA0054,
2172,Marooned,OWA0062,
2173,Patton,OWA0001,
2173,Patton,OWA0003,
2173,Patton,OWA0012,
2173,Patton,OWA0020,
2173,Patton,OWA0060,
2173,Patton,OWA0057,
2173,Patton,OWA0069,
2174,Ryan's Daughter,OWA0025,GG010
2174,Ryan's Daughter,OWA0004,GG010
2175,Women in Love,OWA0002,
2176,Airport,OWA0026,GG009
2177,Cromwell,OWA0053,
2178,Woodstock,OWA0044,
2179,Interviews with My Lai Veterans,OWA0037,
2180,Investigation of a Citizen above Suspicion,OWA0050,
2181,Let It Be,OWA0068,
2182,Lovers and Other Strangers,OWA0066,
2183,Is It Always Right to Be Right?,OWA0016,
2184,The Resurrection of Broncho Billy,OWA0054,
2185,Tora! Tora! Tora!,OWA0062,
2186,M*A*S*H,OWA0055,GG004
2187,The French Connection,OWA0001,GG003
2187,The French Connection,OWA0001,GG011
2187,The French Connection,OWA0012,GG003
2187,The French Connection,OWA0012,GG011
2187,The French Connection,OWA0020,GG003
2187,The French Connection,OWA0020,GG011
2187,The French Connection,OWA0060,GG003
2187,The French Connection,OWA0060,GG011
2187,The French Connection,OWA0055,GG003
2187,The French Connection,OWA0055,GG011
2188,The Last Picture Show,OWA0025,GG010
2188,The Last Picture Show,OWA0026,GG010
2189,Klute,OWA0002,
2190,Nicholas and Alexandra,OWA0003,
2190,Nicholas and Alexandra,OWA0053,
2191,The Hellstrom Chronicle,OWA0044,
2192,Sentinels of Silence,OWA0037,
2192,Sentinels of Silence,OWA0054,
2193,The Garden of the Finzi Continis,OWA0050,
2194,Summer of '42,OWA0070,
2195,Shaft,OWA0066,GG013
2196,The Crunch Bird,OWA0072,
2197,Bedknobs and Broomsticks,OWA0062,
2198,Cabaret,OWA0025,GG004
2198,Cabaret,OWA0025,GG005
2198,Cabaret,OWA0025,GG010
2198,Cabaret,OWA0002,GG004
2198,Cabaret,OWA0002,GG005
2198,Cabaret,OWA0002,GG010
2198,Cabaret,OWA0003,GG004
2198,Cabaret,OWA0003,GG005
2198,Cabaret,OWA0003,GG010
2198,Cabaret,OWA0004,GG004
2198,Cabaret,OWA0004,GG005
2198,Cabaret,OWA0004,GG010
2198,Cabaret,OWA0012,GG004
2198,Cabaret,OWA0012,GG005
2198,Cabaret,OWA0012,GG010
2198,Cabaret,OWA0020,GG004
2198,Cabaret,OWA0020,GG005
2198,Cabaret,OWA0020,GG010
2198,Cabaret,OWA0071,GG004
2198,Cabaret,OWA0071,GG005
2198,Cabaret,OWA0071,GG010
2198,Cabaret,OWA0057,GG004
2198,Cabaret,OWA0057,GG005
2198,Cabaret,OWA0057,GG010
2199,Butterflies Are Free,OWA0026,GG017
2200,Travels with My Aunt,OWA0053,
2201,Marjoe,OWA0044,
2202,This Tiny World,OWA0037,
2203,The Discreet Charm of the Bourgeoisie,OWA0050,
2204,Limelight,OWA0070,
2205,The Poseidon Adventure,OWA0066,GG009
2205,The Poseidon Adventure,OWA0073,GG009
2206,Norman Rockwell's World...An American Dream,OWA0054,
2207,The Candidate,OWA0069,
2208,Save the Tiger,OWA0001,
2209,The Paper Chase,OWA0025,GG010
2210,A Touch of Class,OWA0002,GG005
2210,A Touch of Class,OWA0002,GG006
2211,The Sting,OWA0003,
2211,The Sting,OWA0053,
2211,The Sting,OWA0012,
2211,The Sting,OWA0020,
2211,The Sting,OWA0074,
2211,The Sting,OWA0060,
2211,The Sting,OWA0069,
2212,Cries and Whispers,OWA0004,
2213,The Great American Cowboy,OWA0044,
2214,Princeton: A Search for Answers,OWA0037,
2215,Day for Night,OWA0050,
2216,The Way We Were,OWA0070,
2216,The Way We Were,OWA0022,
2217,Frank Film,OWA0072,
2218,The Bolero,OWA0054,
2219,Harry and Tonto,OWA0001,
2220,Alice Doesn't Live Here Anymore,OWA0002,
2221,The Towering Inferno,OWA0004,GG016
2221,The Towering Inferno,OWA0004,GG010
2221,The Towering Inferno,OWA0020,GG016
2221,The Towering Inferno,OWA0020,GG010
2221,The Towering Inferno,OWA0022,GG016
2221,The Towering Inferno,OWA0022,GG010
2222,Hearts and Minds,OWA0044,
2223,Don't,OWA0037,
2224,Amarcord,OWA0050,
2225,Closed Mondays,OWA0075,
2226,One-Eyed Men Are Kings,OWA0076,
2227,Earthquake,OWA0057,
2227,Earthquake,OWA0073,
2228,One Flew over the Cuckoo's Nest,OWA0001,
2228,One Flew over the Cuckoo's Nest,OWA0002,
2228,One Flew over the Cuckoo's Nest,OWA0012,
2228,One Flew over the Cuckoo's Nest,OWA0060,
2228,One Flew over the Cuckoo's Nest,OWA0077,
2229,The Sunshine Boys,OWA0025,GG004
2229,The Sunshine Boys,OWA0025,GG010
2230,Shampoo,OWA0026,
2231,The Man Who Skied down Everest,OWA0044,
2232,The End of the Game,OWA0037,
2233,Dersu Uzala,OWA0050,
2234,Nashville,OWA0078,GG014
2235,Great,OWA0075,
2236,Angel and Big Joe,OWA0076,
2237,The Hindenburg,OWA0079,
2237,The Hindenburg,OWA0073,
2238,All the President's Men,OWA0025,
2238,All the President's Men,OWA0003,
2238,All the President's Men,OWA0057,
2238,All the President's Men,OWA0055,
2239,Bound for Glory,OWA0004,
2239,Bound for Glory,OWA0082,
2240,Fellini's Casanova,OWA0053,
2241,"Harlan County, U.S.A.",OWA0044,
2242,Number Our Days,OWA0037,
2243,Black and White in Color,OWA0050,
2244,The Omen,OWA0030,
2245,Leisure,OWA0075,
2246,In the Region of Ice,OWA0076,
2247,Logan's Run,OWA0073,
2248,The Goodbye Girl,OWA0080,GG012
2248,The Goodbye Girl,OWA0080,GG004
2248,The Goodbye Girl,OWA0080,GG005
2248,The Goodbye Girl,OWA0080,GG006
2249,Julia,OWA0025,
2249,Julia,OWA0026,
2249,Julia,OWA0055,
2250,Annie Hall,OWA0081,
2250,Annie Hall,OWA0012,
2250,Annie Hall,OWA0060,
2250,Annie Hall,OWA0083,
2251,Star Wars,OWA0003,
2251,Star Wars,OWA0053,
2251,Star Wars,OWA0020,
2251,Star Wars,OWA0030,
2251,Star Wars,OWA0057,
2251,Star Wars,OWA0084,
2252,Who Are the DeBolts? And Where Did They Get Nineteen Kids?,OWA0044,
2253,Gravity Is My Enemy,OWA0037,
2254,Madame Rosa,OWA0050,
2255,A Little Night Music,OWA0082,
2256,You Light Up My Life,OWA0078,GG014
2257,The Sand Castle,OWA0075,
2258,I'll Find a Way,OWA0076,
2259,Coming Home,OWA0080,GG003
2259,Coming Home,OWA0080,GG002
2259,Coming Home,OWA0081,GG003
2259,Coming Home,OWA0081,GG002
2259,Coming Home,OWA0088,GG003
2259,Coming Home,OWA0088,GG002
2260,California Suite,OWA0026,GG005
2261,Heaven Can Wait,OWA0003,GG004
2261,Heaven Can Wait,OWA0003,GG009
2261,Heaven Can Wait,OWA0003,GG006
2262,Days of Heaven,OWA0004,
2263,Scared Straight!,OWA0044,
2264,The Flight of the Gossamer Condor,OWA0037,
2265,Get Out Your Handkerchiefs,OWA0050,
2266,The Buddy Holly Story,OWA0086,
2267,Midnight Express,OWA0030,GG012
2267,Midnight Express,OWA0030,GG001
2267,Midnight Express,OWA0030,GG016
2267,Midnight Express,OWA0030,GG017
2267,Midnight Express,OWA0087,GG012
2267,Midnight Express,OWA0087,GG001
2267,Midnight Express,OWA0087,GG016
2267,Midnight Express,OWA0087,GG017
2268,Thank God It's Friday,OWA0078,GG014
2269,Special Delivery,OWA0075,
2270,Teenage Father,OWA0076,
2271,Kramer vs. Kramer,OWA0080,GG001
2271,Kramer vs. Kramer,OWA0026,GG001
2271,Kramer vs. Kramer,OWA0012,GG001
2271,Kramer vs. Kramer,OWA0060,GG001
2271,Kramer vs. Kramer,OWA0087,GG001
2272,Being There,OWA0025,GG006
2272,Being There,OWA0025,GG010
2273,Norma Rae,OWA0081,
2273,Norma Rae,OWA0078,
2274,All That Jazz,OWA0003,
2274,All That Jazz,OWA0053,
2274,All That Jazz,OWA0020,
2274,All That Jazz,OWA0089,
2275,Best Boy,OWA0044,
2276,Paul Robeson: Tribute to an Artist,OWA0037,
2277,The Tin Drum,OWA0050,
2278,A Little Romance,OWA0030,
2279,Every Child,OWA0075,
2280,Board and Care,OWA0076,
2281,Breaking Away,OWA0088,GG004
2282,The Black Stallion,OWA0090,
2283,Ordinary People,OWA0025,GG001
2283,Ordinary People,OWA0025,GG017
2283,Ordinary People,OWA0025,GG010
2283,Ordinary People,OWA0025,GG002
2283,Ordinary People,OWA0012,GG001
2283,Ordinary People,OWA0012,GG017
2283,Ordinary People,OWA0012,GG010
2283,Ordinary People,OWA0012,GG002
2283,Ordinary People,OWA0060,GG001
2283,Ordinary People,OWA0060,GG017
2283,Ordinary People,OWA0060,GG010
2283,Ordinary People,OWA0060,GG002
2283,Ordinary People,OWA0087,GG001
2283,Ordinary People,OWA0087,GG017
2283,Ordinary People,OWA0087,GG010
2283,Ordinary People,OWA0087,GG002
2284,Coal Miner's Daughter,OWA0081,GG004
2285,Melvin and Howard,OWA0026,GG009
2285,Melvin and Howard,OWA0088,GG009
2286,Tess,OWA0003,GG016
2286,Tess,OWA0004,GG016
2286,Tess,OWA0053,GG016
2287,From Mao to Mozart: Isaac Stern in China,OWA0044,
2288,Karl Hess: Toward Liberty,OWA0037,
2289,Moscow Does Not Believe in Tears,OWA0050,
2290,Fame,OWA0030,GG014
2290,Fame,OWA0078,GG014
2291,The Dollar Bottom,OWA0091,
2292,The Empire Strikes Back,OWA0057,
2292,The Empire Strikes Back,OWA0073,
2293,On Golden Pond,OWA0080,GG003
2293,On Golden Pond,OWA0080,GG001
2293,On Golden Pond,OWA0081,GG003
2293,On Golden Pond,OWA0081,GG001
2293,On Golden Pond,OWA0087,GG003
2293,On Golden Pond,OWA0087,GG001
2294,Arthur,OWA0025,GG004
2294,Arthur,OWA0025,GG010
2294,Arthur,OWA0025,GG014
2294,Arthur,OWA0078,GG004
2294,Arthur,OWA0078,GG010
2294,Arthur,OWA0078,GG014
2295,Reds,OWA0026,GG011
2295,Reds,OWA0004,GG011
2295,Reds,OWA0012,GG011
2296,Chariots of Fire,OWA0053,GG008
2296,Chariots of Fire,OWA0030,GG008
2296,Chariots of Fire,OWA0060,GG008
2296,Chariots of Fire,OWA0088,GG008
2297,Genocide,OWA0044,
2298,Close Harmony,OWA0037,
2299,Mephisto,OWA0050,
2300,Crac,OWA0075,
2301,Violet,OWA0076,
2302,Gandhi,OWA0080,GG003
2302,Gandhi,OWA0080,GG012
2302,Gandhi,OWA0080,GG017
2302,Gandhi,OWA0080,GG011
2302,Gandhi,OWA0080,GG008
2302,Gandhi,OWA0003,GG003
2302,Gandhi,OWA0003,GG012
2302,Gandhi,OWA0003,GG017
2302,Gandhi,OWA0003,GG011
2302,Gandhi,OWA0003,GG008
2302,Gandhi,OWA0004,GG003
2302,Gandhi,OWA0004,GG012
2302,Gandhi,OWA0004,GG017
2302,Gandhi,OWA0004,GG011
2302,Gandhi,OWA0004,GG008
2302,Gandhi,OWA0053,GG003
2302,Gandhi,OWA0053,GG012
2302,Gandhi,OWA0053,GG017
2302,Gandhi,OWA0053,GG011
2302,Gandhi,OWA0053,GG008
2302,Gandhi,OWA0012,GG003
2302,Gandhi,OWA0012,GG012
2302,Gandhi,OWA0012,GG017
2302,Gandhi,OWA0012,GG011
2302,Gandhi,OWA0012,GG008
2302,Gandhi,OWA0020,GG003
2302,Gandhi,OWA0020,GG012
2302,Gandhi,OWA0020,GG017
2302,Gandhi,OWA0020,GG011
2302,Gandhi,OWA0020,GG008
2302,Gandhi,OWA0060,GG003
2302,Gandhi,OWA0060,GG012
2302,Gandhi,OWA0060,GG017
2302,Gandhi,OWA0060,GG011
2302,Gandhi,OWA0060,GG008
2302,Gandhi,OWA0088,GG003
2302,Gandhi,OWA0088,GG012
2302,Gandhi,OWA0088,GG017
2302,Gandhi,OWA0088,GG011
2302,Gandhi,OWA0088,GG008
2303,An Officer and a Gentleman,OWA0025,
2303,An Officer and a Gentleman,OWA0078,
2304,Tootsie,OWA0026,GG006
2305,Just Another Missing Kid,OWA0044,
2306,If You Love This Planet,OWA0037,
2307,Volver a Empezar ('To Begin Again'),OWA0050,
2308,Quest for Fire,OWA0092,
2309,E.T. The Extra-Terrestrial,OWA0030,
2309,E.T. The Extra-Terrestrial,OWA0057,
2309,E.T. The Extra-Terrestrial,OWA0093,
2309,E.T. The Extra-Terrestrial,OWA0084,
2310,Victor/Victoria,OWA0089,
2311,Tango,OWA0075,
2312,A Shocking Accident,OWA0076,
2313,Missing,OWA0087,
2314,Tender Mercies,OWA0080,GG003
2314,Tender Mercies,OWA0088,GG003
2315,Terms of Endearment,OWA0025,GG001
2315,Terms of Endearment,OWA0025,GG010
2315,Terms of Endearment,OWA0081,GG001
2315,Terms of Endearment,OWA0081,GG010
2315,Terms of Endearment,OWA0012,GG001
2315,Terms of Endearment,OWA0012,GG010
2315,Terms of Endearment,OWA0060,GG001
2315,Terms of Endearment,OWA0060,GG010
2315,Terms of Endearment,OWA0087,GG001
2315,Terms of Endearment,OWA0087,GG010
2316,The Year of Living Dangerously,OWA0026,
2317,Fanny & Alexander,OWA0003,GG008
2317,Fanny & Alexander,OWA0004,GG008
2317,Fanny & Alexander,OWA0053,GG008
2317,Fanny & Alexander,OWA0050,GG008
2318,He Makes Me Feel Like Dancin',OWA0044,
2319,Flamenco at 5:15,OWA0037,
2320,The Right Stuff,OWA0020,
2320,The Right Stuff,OWA0030,
2320,The Right Stuff,OWA0057,
2320,The Right Stuff,OWA0093,
2321,Yentl,OWA0094,GG004
2321,Yentl,OWA0094,GG011
2322,Flashdance,OWA0078,GG013
2322,Flashdance,OWA0078,GG014
2323,Sundae in New York,OWA0075,
2324,Boys and Girls,OWA0076,
2325,Return of the Jedi,OWA0073,
2326,The Killing Fields,OWA0025,GG010
2326,The Killing Fields,OWA0004,GG010
2326,The Killing Fields,OWA0020,GG010
2327,Places in the Heart,OWA0081,GG002
2327,Places in the Heart,OWA0088,GG002
2328,A Passage to India,OWA0026,GG008
2328,A Passage to India,OWA0026,GG009
2328,A Passage to India,OWA0030,GG008
2328,A Passage to India,OWA0030,GG009
2329,The Times of Harvey Milk,OWA0044,
2330,The Stone Carvers,OWA0037,
2331,Dangerous Moves,OWA0050,
2332,Purple Rain,OWA0068,
2333,The Woman in Red,OWA0078,GG014
2334,Up,OWA0076,GG013
2334,Up,OWA0076,GG007
2334,Up,OWA0098,GG013
2334,Up,OWA0098,GG007
2334,Up,OWA0030,GG013
2334,Up,OWA0030,GG007
2335,The River,OWA0085,
2336,Kiss of the Spider Woman,OWA0080,
2337,Cocoon,OWA0025,
2337,Cocoon,OWA0084,
2338,The Trip to Bountiful,OWA0081,
2339,Prizzi's Honor,OWA0026,GG004
2339,Prizzi's Honor,OWA0026,GG005
