Movie Name,Year Ceremony,Oscar Award,Oscar Winner,Year,Golden Globe Award,GG Winer
The Wizard of Oz,1940,MUSIC (Original Score),Herbert Stothart,0,,
The Wizard of Oz,1940,MUSIC (Song),Music by Harold Arlen; Lyrics by E. Y. Harburg,0,,
The Ugly Duckling,1940,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",0,,
Busy Little Bears,1940,SHORT SUBJECT (One-reel),Paramount,0,,
Sons of Liberty,1940,SHORT SUBJECT (Two-reel),Warner Bros.,0,,
When Tomorrow Comes,1940,SOUND RECORDING,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",0,,
The Rains Came,1940,SPECIAL EFFECTS,"Fred Sersen, E. H. Hansen",0,,
Mr. Smith Goes to Washington,1940,WRITING (Original Story),Lewis R. Foster,0,,
The Philadelphia Story,1941,ACTOR,James Stewart,0,,
The Philadelphia Story,1941,WRITING (Screenplay),Donald Ogden Stewart,0,,
The Westerner,1941,ACTOR IN A SUPPORTING ROLE,Walter Brennan,0,,
Kitty Foyle,1941,ACTRESS,Ginger Rogers,0,,
The Grapes of Wrath,1941,ACTRESS IN A SUPPORTING ROLE,Jane Darwell,0,,
The Grapes of Wrath,1941,DIRECTING,John Ford,0,,
Pride and Prejudice,1941,ART DIRECTION (Black-and-White),"Cedric Gibbons, Paul Groesse",0,,
The Thief of Bagdad,1941,ART DIRECTION (Color),Vincent Korda,0,,
The Thief of Bagdad,1941,CINEMATOGRAPHY (Color),Georges Périnal,0,,
The Thief of Bagdad,1941,SPECIAL EFFECTS,Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney,0,,
Rebecca,1941,CINEMATOGRAPHY (Black-and-White),George Barnes,0,,
Rebecca,1941,OUTSTANDING PRODUCTION,Selznick International Pictures,0,,
North West Mounted Police,1941,FILM EDITING,Anne Bauchens,0,,
Pinocchio,1941,MUSIC (Original Score),"Leigh Harline, Paul J. Smith, Ned Washington",0,,
Pinocchio,1941,MUSIC (Song),Music by Leigh Harline; Lyrics by Ned Washington,0,,
Tin Pan Alley,1941,MUSIC (Scoring),Alfred Newman,0,,
The Milky Way,1941,SHORT SUBJECT (Cartoon),Metro-Goldwyn-Mayer,0,,
Quicker 'N a Wink,1941,SHORT SUBJECT (One-reel),"Pete Smith, Producer",0,,
"Teddy, the Rough Rider",1941,SHORT SUBJECT (Two-reel),Warner Bros.,0,,
Strike Up the Band,1941,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",0,,
The Great McGinty,1941,WRITING (Original Screenplay),Preston Sturges,0,,
"Arise, My Love",1941,WRITING (Original Story),"Benjamin Glazer, John S. Toldy",0,,
Sergeant York,1942,ACTOR,Gary Cooper,0,,
